Video Id,Primary Label,Predicted Label,Response,Languages
lsRimMfwOc8,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The video features light-hearted themes of adventure and mystery solving, which are typically appealing to children. It includes playful and whimsical dialogue as the characters explore the concept of a treasure map. The presence of children among the adventurers, along with discussions about themes such as candy treasures, bicycles, and playful banter, further aligns with content enjoyed by a younger audience. Additionally, the colorful and cartoonish visuals support this classification."",""languages"":[""Portuguese""]}",['Portuguese']
TjtDksEQR1Q,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The content features colorful and cartoonish visuals, playful themes, and light-hearted interactions which are appealing to children. The dialogue contains simple language and revolves around themes such as play and imagination. These elements indicate the content is designed for a young audience."",""languages"":[""English""]}",['English']
SybATgnDGv0,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The content features colorful, cartoonish animated visuals with anthropomorphic characters, playful themes, and rhythmic elements suitable for children. The audio transcription includes simple, repetitive chants and songs like 'A little finger,' which are appealing to young viewers. Additionally, the playful narrative and visuals make it child-directed."",""languages"":[""English"",""Portuguese""]}","['English', 'Portuguese']"
wR0-2iH2ftI,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The content features playful activities with colorful balloons, which are likely appealing to children. The visuals include bright, fun colors and simple objects that are commonly enjoyed by young audiences. The audio transcription includes exclamations and expressions of excitement, which are typical in content designed to entertain children. Additionally, the playful and non-violent theme of blowing up balloons and interacting with toy vehicles fits the criteria for child-directed content."",""languages"":[""en""]}",['en']
q9Ri6Wqd4mU,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The content features colorful, animated visuals with anthropomorphic characters and playful themes. It includes songs and chants that appeal to young viewers, and the storyline revolves around simple, child-friendly themes like food and counting. The use of Spanish language is basic and suitable for children."",""languages"":[""Spanish""]}",['Spanish']
kMwdm_XQ5r4,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The content features playful elements such as a toy car and children engaging in imaginative play. The language includes simple, repetitive phrases and a popular children's song 'Head, Shoulders, Knees, and Toes,' which appeals to young audiences. The visuals and theme are bright and playful, suggesting it's directed towards children."",""languages"":[""English""]}",['English']
H8edcS0_F-c,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The content features superhero and adventure themes with playful and whimsical elements, appealing to a children's audience. It includes cartoonish villains and a light-hearted, non-violent narrative intended to entertain children. The visuals and interactions between characters are suitable for kids, and the language is simple and child-friendly."",""languages"":[""Portuguese""]}",['Portuguese']
QnOjibiMf0w,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The content features friendly interactions, playful themes, and family-friendly humor which are common in child-directed media. The visuals are colorful and cartoonish, indicating that it is designed to appeal to children. The audio includes playful language, simple stories, and silly jokes suitable for kids. Overall, it contains elements specifically aimed at young audiences."",""languages"":[""English"",""Portuguese""]}","['English', 'Portuguese']"
oSkQAOE5zQU,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The video features colorful and cartoonish animated characters such as anthropomorphic animals and whimsical themes. The storyline involves light-hearted scenarios like caring for a baby and a safety-themed adventure with a rescue team. The simple language, playful music, and engaging visuals are suited for young audiences, emphasizing educational themes like safety and teamwork without mature content."",""languages"":[""English""]}",['English']
deO1oEAas-4,Child Directed,Child Directed,"{""label"":""Child Directed"",""justification"":""The content features playful, colorful visuals with children in costumes engaging in whimsical activities related to Halloween and candy. The language is simple and repetitive, with elements like chants and playful themes, making it appealing to young viewers. There is no presence of dark, mature, or violent themes, and the content appears enjoyable for children."",""languages"":[""English"",""Vietnamese""]}","['English', 'Vietnamese']"
