Video Id,Primary Label,Predicted Label,Languages,Response
kvdODh_vd6Q,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""The content contains mature themes, complex dialogue, and discussions about scientific experiments, psychology, and philosophical concepts that are not appropriate or intended for children. The language and topics discussed are more suited for an adult audience."",
  ""language"": ""English""
}"
G3WmER1hjmA,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""The content is a political news segment discussing a town hall event with a vice presidential candidate. It contains complex political topics, adult-oriented discussions, and language that would not be easily understood or appealing to children. The format and subject matter are clearly intended for an adult audience interested in current political events."",
  ""language"": ""English""
}"
cIAoz2ebBoU,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""This video contains gameplay instructions for a mature-rated video game (Black Ops 6 Zombies). The content includes complex instructions, advanced vocabulary, and references to zombies and combat, which are not suitable for young children."",
  ""language"": ""English""
}"
xzm1IjzPwsw,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""This content is a news report about a serious earthquake in Turkey and Greece. It contains complex information about building collapses, rescue efforts, and potential casualties. The language and topics discussed are too advanced and potentially distressing for children."",
  ""language"": ""English""
}"
lkAYu1J6rdk,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""This content discusses gaming obsessions and behaviors that are more relevant to adult or teenage gamers. It includes complex language, references to adult concepts like Pop Idol and Big Brother, and discusses gaming habits in depth. The tone and content are not simplified for children."",
  ""language"": ""English""
}"
E9z6IhFAGAk,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""This content contains themes and dialogue that are too complex and mature for young children, including theft, injury, medical procedures, and social class differences. The narrative involves deception, potential violence, and complex social dynamics that are not suitable for a child-directed audience."",
  ""language"": ""English""
}"
jTCwU5CDeLE,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""This video appears to be a collection of Thanksgiving and holiday hosting tips aimed at adult hosts. It includes complex instructions for table settings, food preparation, and organizational techniques that are beyond the skill level or interest of most children. The content is practical and informative rather than playful or entertaining for kids."",
  ""language"": ""English""
}"
XvM49ayRHa8,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""This content appears to be a walkthrough guide for a mature video game, likely Call of Duty. It contains references to complex puzzles, stealth gameplay, combat scenarios, and looting safes, which are not typical elements of child-directed content. The language and concepts used are more suited for older teens or adults."",
  ""language"": ""English""
}"
dK2uKyBgdEc,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""This content discusses a serious crime involving stabbings and contains mature themes like murder, mental health issues, and journalistic ethics. The language and subject matter are complex and inappropriate for children."",
  ""language"": ""English""
}"
oHIRJmi0Gw8,Not Child Directed,Not Child Directed,English,"{
  ""label"": ""Not Child Directed"",
  ""justification"": ""This content is focused on professional NBA basketball analysis and gameplay, featuring complex strategic discussions, player statistics, and coaching insights. The language and topics are geared towards adult sports fans and not simplified for children."",
  ""language"": ""English""
}"
