Video Id,Primary Label,Predicted Label,Response,Languages
Wma_iVqKRWw,inappropriate,inappropriate,"The lyrics contain themes of destruction, war, and desolation (""forests in the fallout,"" ""desolate and worn out,"" ""all this devastation""),  which can be frightening and disturbing for children under 9.  The references to ""prophecies"" and ""poison"" also introduce abstract and potentially unsettling concepts. While there is no explicit violence, the apocalyptic imagery and overall tone are unsuitable for young children.",['English']
1dtzSRlfBDk,child directed,appropriate,"The video promotes educational content focusing on math skills through a game of hatching digital pets.  There is no violence, sexual content, discrimination, offensive language, or any other elements listed in the definition that would be considered inappropriate for children under 9. The overall tone is playful and encouraging. ",['English']
5KRcG9gVhio,inappropriate,inappropriate,"The audio transcription contains references to alcohol consumption (""And to drink, let's go. Take out the bottles""), sexual content (""Te pone bien loquita"", ""Si vamos pa' Margarita pa' joder"", sexually suggestive lyrics), and potentially offensive language (depending on the context and translation of certain terms).  These elements make the video inappropriate for children under 9.",['Spanish']
1EYvCnQj1uQ,inappropriate,inappropriate,"The video is inappropriate for children under 9 due to the presence of romantic themes, sexual innuendos (""that you kiss me, girl, I want. Give me your affection that I despair. Give me a kiss on one cheek or on the other. Give it to me in the mouth and you'll see that I eat it when I'm a mom""), and suggestive lyrics expressing intense romantic feelings.  The repeated phrases ""Ay loco, por tu mirada estoy loco"" (Oh crazy, I'm crazy for your gaze) and descriptions of physical intimacy (""Esas caricias, ese regazo, esa cintura y ese abrazo"" - Those caresses, that lap, that waist and that hug) are not suitable for young children.  The overall tone and content are sexually suggestive and romantic in nature, falling under the categories of ""sexual content"" and ""intimacy"" in the provided definition.","['Spanish', 'English']"
hkworAjntAI,inappropriate,appropriate,"The song's lyrics, while addressing themes of overcoming hardship and finding strength, do not contain any elements from the provided list that would make it inappropriate for children under 9.  There is no violence, sexual content, discrimination, offensive language, or other harmful elements. The song promotes self-empowerment and resilience, which are positive messages for children. ",['English']
0I5z4YcjBTU,irrelevant,appropriate,"The audio transcription contains a birthday message and a reference to Star Wars. There is no violence, sexual content, discrimination, offensive language, or other inappropriate elements for children under 9.  Therefore, it is appropriate.",['English']
Wxw30ZAMhRI,child directed,appropriate,"The text mentions Mario and Luigi, suggesting a children's video game theme.  While there are repeated exclamations like ""Mamma mia!"" and ""I love you!,"" these are not inherently inappropriate for children.  The overall tone seems playful and lighthearted, focusing on adventure and characters. There is no mention of violence, sexual content, discrimination, offensive language, or other elements that would be inappropriate for children under 9. Therefore, based on the provided transcription, the video is considered appropriate.","['Spanish', 'English']"
IK2OFWzmXm0,irrelevant,inappropriate,"The audio transcription contains elements that would make the video inappropriate for children under 9.  The repeated phrases and incoherent rambling suggest potential mental distress.  The line ""Man, she could murder"" introduces violence.  The mention of ""honey"" and ""meaner"" combined with the overall context might suggest innuendo or inappropriate themes.  Therefore, based on the provided definition and the content of the transcription, the video is inappropriate for children.",['English']
EgOI6Nc2PxQ,irrelevant,appropriate,"The advertisement promotes a concert by Cristian Nodal in Venezuela.  There is no mention of any content that would be inappropriate for children under 9, such as violence, sexual content, discrimination, or offensive language.  The content is purely an announcement of a musical event.",['Spanish']
qGJziQ8L7UY,inappropriate,appropriate,"The audio transcription does not contain any of the elements listed as inappropriate for children under 9.  Therefore, it is considered appropriate.",['English']
