,Video Id,Primary Label,Predicted Label,Response,Languages
0,DAp5f9GaxM0,inappropriate,inappropriate,"The video contains significant romantic intimacy, which makes it inappropriate for young children.",['Punjabi']
1,Ix-mCljuPgI,irrelevant,inappropriate,"The video contains depictions of alcohol consumption, which is inappropriate for young children. The lyrics also contain some suggestive language and themes that are not suitable for a young audience.",['Spanish']
2,TOj784PChEU,inappropriate,inappropriate,"The audio contains profane language, and the video shows scenes of people drinking and smoking.  These elements make the video inappropriate for young children.",['English']
3,tYKduNKGmUI,inappropriate,appropriate,"The video contains a song with romantic themes, but there is no overt sexual behavior, nudity, or sexual suggestiveness. The visuals are also not violent or graphic. Therefore, the video is considered appropriate for young children.",['Punjabi']
4,Nipeto2bt3U,inappropriate,inappropriate,"The video contains significant romantic intimacy, including a kiss, which is considered inappropriate for young children.  The lyrics also suggest romantic themes.",['Kannada']
5,9T9I56-c72g,inappropriate,inappropriate,"The audio contains sexual innuendos and suggestive lyrics.  The visuals are also suggestive, featuring scantily clad women. This content is not suitable for young children.","['Spanish', 'English']"
6,AYiAJnzFILc,inappropriate,inappropriate,"The video contains scenes of violence, weapons (firearms), and suggestive dancing.  These elements are not suitable for young children.",['Punjabi']
7,c0JoY05GDww,irrelevant,appropriate,"The video contains three men dancing and singing. There is no violent or graphic content, self-harm, horror, loud or violent sounds, weapons, sexual content, vulgar dancing, discrimination, profane language, drinking, drugs, smoking, gambling, or inappropriate clothing. The video is appropriate for young children.",['Punjabi']
8,Lp-VL7MxNbQ,irrelevant,appropriate,The video contains a song about mothers. The visuals show a musical performance with children and adults. There is no inappropriate content.,['Bengali']
9,Uix8kB4TPnY,irrelevant,appropriate,"The video contains no violent or graphic content, self-harm or suicide, elements of horror or creepy themes, loud and violent sounds, zombies, skeletons, scary masks, scary clowns, fire in dangerous settings, extremely distressing scenes (such as car crashes), extreme stunts (depictions of life endangering or high-risk physical activities), fight sports (such as boxing, wrestling, martial arts), first-person shooter and battle games (games intended for children over 13 should be considered inapproprite), weapons (such as firearms, explosives, swords, axes etc.), sexual content (innuendos, overt sexual behavior, nudity, sexual themes, sexual suggestiveness etc.), vulgar dancing (such as twerking etc.), discrimination (based on race/ethnicity/gender/ability), profane or explicit language (from mild words such as ""idiot"" and ""stupid"" to severe swearing, hate speech or signs), drinking, drugs, smoking, gambling, crude humour, inappropriate clothing (with significant skin exposure), significant romantic intimacy. The song is about the carefree nature of children and their lives. Therefore, the video is appropriate for young children.","['English', 'Hindi']"
10,JeNzJE-H9_w,child directed,appropriate,"The video is appropriate for young children. The video is a cartoon and the audio is a story being read. There is no violence, self-harm, horror, or any other inappropriate content.",['Bengali']
11,pmJdFF_ahV0,inappropriate,inappropriate,"The video contains several elements that would be considered inappropriate for young children.  The presence of scary masks, a scene that could be interpreted as a depiction of a couple breaking up, and the use of smoking are all factors that contribute to this classification. The song's lyrics, while not explicitly violent, deal with themes of heartbreak and loss, which might be too emotionally complex for young children to process. ",['Arabic']
12,Ou6aoi8oylQ,inappropriate,inappropriate,The video contains significant romantic intimacy between a man and a woman.  This is considered inappropriate for young children according to the provided guidelines.,['Hindi']
13,JNS1wyapTSI,irrelevant,appropriate,"The video is appropriate for young children. It shows a man unboxing a phone and discussing its features. There is no violent, graphic, sexual, or discriminatory content. The language used is clean and appropriate for all ages.",['English']
14,7dWVS8Ieezg,irrelevant,inappropriate,"The video contains depictions of a police stop, which could be perceived as distressing for young children.  Additionally, the video shows adults consuming Pepsi, which is inappropriate for young children. The song playing in the background is in Urdu.",['Urdu']
15,KmFEk-EdEN8,irrelevant,appropriate,"The video shows people dancing and drinking tea. There is no violence, sexual content, or other inappropriate material present. The song is upbeat and celebratory. Therefore, the video is appropriate for young children.",['Arabic']
