Unnamed: 0,Video Id,Primary Label,Predicted Label,Response
0,-QO7KNc3uV8,Child Directed,Not Child Directed,"The video features a red, cartoonish figure, but its expression is one of distress and fear, which is not typically associated with content designed for children.  The overall aesthetic, while somewhat animated, is not light-hearted or playful enough to be considered child-directed."
1,16IIxFUhcZ4,Child Directed,Child Directed,"The video features a cartoonish spider character with headphones, wearing a hoodie. The overall style is colorful and animated, appealing to children. The setting appears whimsical, and there is no violence or mature content present.  Therefore, it meets the criteria for child-directed content."
2,1Ae-BS5iPY8,Child Directed,Child Directed,"The video features cartoonish visuals of bottles with faces, light-hearted gameplay, and simple animations.  These elements are commonly appealing to children. The overall tone and style of the video suggest it is intended for a younger audience."
3,1pu7jF49sck,Child Directed,Not Child Directed,"The video contains cartoonish elements but also includes a depiction of feces, which is not appropriate for children.  Therefore, it does not meet the criteria for child-directed content."
4,1YXmZvEdv6k,Child Directed,Not Child Directed,"The video shows a golden ticket from the movie ""Willy Wonka and the Chocolate Factory."" While the movie itself may appeal to children, this clip is simply a close-up of the ticket and does not contain any other elements that would make it child-directed.  There is no dialogue or other audio."
5,1_BS7UGKZEo,Child Directed,Child Directed,"The video is an animated story, ""The Fisherman and his Wife,"" told in English.  It features cartoonish characters, whimsical themes, and a simple narrative suitable for young children. The visuals are colorful and appealing to kids. Therefore, it meets the criteria for child-directed content."
6,3vDuSr2VLmw,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and light-hearted portrayals of conflict, all of which are commonly enjoyed by children.  The animation style and overall tone suggest it is designed for a child audience."
7,46qwfF6F_fQ,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and light-hearted gameplay, all of which are commonly enjoyed by children.  The visuals are colorful and animated, and the overall tone is playful and non-violent. Therefore, it meets the criteria for child-directed content."
8,50yyQOOjRtg,Child Directed,Child Directed,"This video features Poppy, a popular character from the Trolls franchise, known for its bright colors, whimsical themes, and child-friendly animation style. The video's light-hearted tone and simple narrative make it suitable for young children.  The absence of mature themes, violence, or complex dialogue further supports its classification as child-directed."
9,791CWHOkekg,Child Directed,Not Child Directed,"The video shows a gloved hand reaching for a Wonka chocolate bar with a golden ticket.  While the imagery is whimsical, the overall context is not explicitly designed for children and lacks the child-appealing elements typically associated with child-directed content. There is no dialogue or other audio."
10,8am_b2GXgZg,Child Directed,Child Directed,"This video features cartoonish characters (dinosaurs and elephants), bright colors, and a playful theme.  The content is light-hearted and non-violent, making it suitable for children."
11,98Cli5sviRc,Child Directed,Child Directed,"The video features cartoonish dinosaurs and elephants in a playful setting. The visuals are colorful and the overall tone is light-hearted and whimsical, making it suitable for children.  There is no violence or mature content present."
12,A2zHXxd8GLc,Child Directed,Child Directed,"This video features cartoonish characters, whimsical themes (unicorns, rainbows), and a playful tone. The visuals are colorful and animated, and the content is light-hearted and suitable for young children.  The song is a simple, repetitive tune that is likely to appeal to children. Therefore, it meets the criteria for child-directed content."
13,aVxNcRp58iQ,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and light-hearted gameplay, all of which are commonly enjoyed by children.  The game's visuals are colorful and animated, and the gameplay is non-violent and simplified.  Therefore, it meets the criteria for child-directed content."
