Video Id,Primary Label,Predicted Label,Response,Languages
kvdODh_vd6Q,Not Child Directed,Not Child Directed,"The content contains mature themes, complex vocabulary, and discussions inappropriate for children.  The language used is not child-like, and the topics discussed (e.g., scientific misconduct, violence, adult relationships) are not suitable for a child audience.",['English']
G3WmER1hjmA,Not Child Directed,Not Child Directed,"The content is a transcript of a political discussion featuring a town hall with Senator J.D. Vance.  The topics discussed are mature political issues, including immigration, crime, and commentary on other political figures. The language used is sophisticated and the themes are far beyond the comprehension and interest of children.  There are no child-appealing elements present.",['English']
cIAoz2ebBoU,Not Child Directed,Not Child Directed,"This video is a walkthrough for a video game Easter egg.  The content is focused on complex gameplay mechanics and strategies, using advanced vocabulary and detailed instructions. It does not contain child-appealing elements such as cartoonish visuals, light-hearted themes, or simple narratives. The focus is on completing a challenging in-game task, making it unsuitable for a child audience.",['English']
xzm1IjzPwsw,Not Child Directed,Not Child Directed,"This news report describes a significant earthquake, its impact on buildings and people, and the rescue efforts underway.  The content includes descriptions of collapsed buildings, potential casualties, and the emotional distress of people searching for loved ones. These elements are not suitable for children.",['English']
lkAYu1J6rdk,Not Child Directed,Not Child Directed,"The content discusses gaming obsessions, including speedrunning, character creation, map completion, trophy hunting, grinding, and collecting gaming merchandise.  These topics and the overall tone are not geared towards children. The language used is mature and the themes are not child-appropriate.",['English']
E9z6IhFAGAk,Not Child Directed,Not Child Directed,"The content contains complex plotlines, adult themes (e.g., theft, violence, class conflict), and sophisticated vocabulary inappropriate for children.  While there are some lighthearted moments, the overall narrative and themes are not suitable for a child audience.",['English']
pcOj9k787b0,Not Child Directed,Not Child Directed,"This interview contains serious political discussions about a former president, including accusations of authoritarian tendencies and warnings about potential threats to democracy.  The vocabulary, themes, and overall tone are far too mature for a child audience.",['English']
jTCwU5CDeLE,Not Child Directed,Not Child Directed,"The content is primarily focused on Thanksgiving and holiday preparation hacks for adults.  While some of the crafts mentioned (napkin folding into turkeys, cornucopias, etc.) could potentially be adapted for children, the overall focus and presentation are geared towards adult viewers interested in simplifying holiday hosting.  There are no explicitly child-directed elements such as cartoonish visuals, simplified language, or themes specifically designed for children.",['English']
XvM49ayRHa8,Not Child Directed,Not Child Directed,"This video is a walkthrough for a video game, focusing on finding safes and obtaining in-game rewards.  The content includes descriptions of violence (taking out enemies), and the gameplay is not simplified or child-friendly. The language used is also not suitable for children. Therefore, it does not meet the criteria for child-directed content.",['English']
dK2uKyBgdEc,Not Child Directed,Not Child Directed,"This news segment discusses the tragic stabbing deaths of three individuals, including two teenagers.  The content is emotionally heavy, focusing on the grief of the victims' families and their criticisms of a Panorama episode.  The detailed descriptions of the crime and the killer's actions are far too mature for a child audience.  The themes of death, violence, and the failings of the justice system are not suitable for children.",['English']
oHIRJmi0Gw8,Not Child Directed,Not Child Directed,"The content is a detailed recap of an NBA basketball game, focusing on the strategies, performances of individual players, and coaching decisions.  The language used is sophisticated and includes sports jargon. The subject matter is not inherently child-appealing, and there are no child-directed elements present.",['en']
k5fuSGBfOUg,Not Child Directed,Not Child Directed,"The content is a discussion of a video game, Fortnite, focusing on an upcoming in-game event.  The language used is mature, and the subject matter is complex and geared towards gamers familiar with the game's mechanics and lore. There are no child-appealing elements present; instead, the video focuses on gameplay strategies, in-game items, and speculation about future updates. The overall tone and content are not suitable for children.",['English']
sv-kUILhAfo,Not Child Directed,Not Child Directed,"The content is a basketball game commentary with adult language and themes.  It discusses professional athletes, game strategies, and team performances, which are not typically of interest to children. The presence of food and casual banter does not outweigh the overall mature nature of the discussion.",['English']
SgtoGsnr-K0,Not Child Directed,Not Child Directed,"The content is a commentary of a rugby match.  The description includes sports terminology, detailed game play, and doesn't contain any elements typically appealing to children such as cartoonish visuals, light-hearted themes, or simplified narratives. The vocabulary and subject matter are not suitable for a child audience.",['English']
oKylKtfLMmM,Not Child Directed,Not Child Directed,"This video is a walkthrough for a video game Easter egg.  The content is focused on complex gameplay mechanics, strategies, and problem-solving within a mature-rated video game. The language used is not child-friendly, and the subject matter is not suitable for children.",['English']
