Video Id,Primary Label,Predicted Label,Response,Languages
kvdODh_vd6Q,Not Child Directed,Not Child Directed,"The content contains mature themes, complex discussions, and strong language, making it unsuitable for children.  The conversation touches on violence, philosophical debates, and critiques of scientific practices, all of which are beyond the comprehension and appropriateness for a child audience.",['English']
G3WmER1hjmA,Not Child Directed,Not Child Directed,"The content is a discussion about politics and current events, including commentary on a town hall meeting with a political candidate.  The topics discussed are complex and unsuitable for children. The language used is mature and the themes are not child-friendly.",['English']
cIAoz2ebBoU,Not Child Directed,Not Child Directed,"This video is a walkthrough for a video game Easter egg.  The content is focused on gameplay mechanics and strategies, which are not typically appealing to children. The visuals are realistic and include violence (zombie killing). The language used is appropriate for adults, and the overall theme is not child-friendly.",['en']
xzm1IjzPwsw,Not Child Directed,Not Child Directed,"This news report covers a serious earthquake, including details of building collapses and potential casualties.  The visuals show damage and destruction, which are not suitable for children. The subject matter and tone are not appropriate for a child audience.","['English', 'Turkish']"
lkAYu1J6rdk,Not Child Directed,Not Child Directed,"The video discusses gaming obsessions, including speedrunning, character creation, map completion, and trophy hunting.  These topics and the overall tone are not suitable for children. The language used is mature and the themes are not child-friendly.",['English']
E9z6IhFAGAk,Not Child Directed,Not Child Directed,"The content contains violence, injury, and adult themes, making it unsuitable for children.  The narrative involves theft, a fight, injuries requiring surgery, and mentions of poverty and financial struggles. The language used, while not explicitly profane, is not appropriate for a young audience. The overall tone and subject matter are not child-friendly.",['en']
pcOj9k787b0,Not Child Directed,Not Child Directed,"The content is a political interview discussing serious allegations against a political figure.  The themes, language, and subject matter are entirely inappropriate for children.",['English']
jTCwU5CDeLE,Not Child Directed,Not Child Directed,"The video is a tutorial on Thanksgiving and Christmas table setting hacks and decorations.  While it uses bright colors and some simple crafts, the content is primarily instructional and geared towards adults who are hosting holiday gatherings. The techniques shown are not simplified for children, and the overall theme is not child-centric.",['en']
XvM49ayRHa8,Not Child Directed,Not Child Directed,"This video is a walkthrough for a video game, showing how to find and open safes within the game.  The gameplay involves violence (shooting enemies), and the overall tone and content are not suitable for children.",['en']
dK2uKyBgdEc,Not Child Directed,Not Child Directed,"This is a news interview discussing a sensitive topic: the aftermath of a tragic stabbing and the controversy surrounding a BBC Panorama episode. The content is serious, includes discussions of death and legal issues, and is not suitable for children.",['English']
oHIRJmi0Gw8,Not Child Directed,Not Child Directed,"The content is a discussion of a professional basketball game between the Los Angeles Lakers and the Houston Rockets.  The commentary includes detailed analysis of the game's strategy, player performances, and coaching decisions. The language used is mature and the subject matter is not suitable for children.",['en']
k5fuSGBfOUg,Not Child Directed,Not Child Directed,"The video is a walkthrough of a video game, Fortnite, and discusses upcoming events and features.  The content is focused on gameplay strategies, in-game items, and speculation about future updates. While the game itself may have child-appealing elements, this particular video's content and language are not geared towards children. The discussion of in-game events and strategies is too complex for a child audience.",['English']
sv-kUILhAfo,Not Child Directed,Not Child Directed,"The content is a basketball game highlights show with commentary from sports analysts.  The discussion includes mature themes such as professional sports analysis and strategy, and the language used is not suitable for children. The visuals are of a live basketball game and studio setting, which are not typically considered child-appealing.",['English']
SgtoGsnr-K0,Not Child Directed,Not Child Directed,"The content is a sports commentary of a rugby match.  The language used is not child-friendly, and the subject matter is not suitable for children. The video contains no child-appealing elements.",['English']
oKylKtfLMmM,Not Child Directed,Not Child Directed,"This video is a walkthrough for a video game Easter egg.  The content is focused on gameplay mechanics and strategy, which is not typically appealing to children. The visuals are from a first-person shooter game, which contains violence and is not suitable for children.",['en']
J1UwRLgJS3A,Not Child Directed,Not Child Directed,"The video is a playthrough of a racing game, Need for Speed Unbound. The content is focused on gameplay, discussing updates, and showing off new features.  The visuals are realistic and the language used is mature.  There are no child-appealing elements present.",['English']
HNqhoeytA0I,Not Child Directed,Not Child Directed,"The video discusses the James Webb Space Telescope, a complex scientific instrument.  The content is highly technical, focusing on scientific concepts like infrared light, cryogenics, and the origins of the universe. The vocabulary and subject matter are far beyond the comprehension of most children.  There are no child-appealing elements such as cartoons, animation, or playful themes.",['English']
P-w72ZOIH6M,Not Child Directed,Not Child Directed,"The video discusses the war in Ukraine, including the potential deployment of North Korean troops to Russia.  This topic is inherently mature and unsuitable for children. The content includes geopolitical analysis, military strategy, and discussions of international conflict, all of which are beyond the comprehension and appropriateness for a child audience.",['English']
S8H_9EoomyI,Not Child Directed,Not Child Directed,"The content discusses the history of several companies, including their ties to religious cults.  It includes mature themes, complex vocabulary, and historical details inappropriate for children. The discussion of cult beliefs and practices, including eugenics and unusual views on marriage, is not suitable for a child audience.",['English']
QKelyF6VDIM,Not Child Directed,Not Child Directed,"The video discusses tracheal collapse in dogs, a medical condition.  The content is educational but focuses on veterinary health, using medical terminology and showing images of a dog and medical supplies.  It is not designed for children, nor does it contain child-appealing elements.",['en']
Vpy8Jzlkk3g,Not Child Directed,Not Child Directed,"The content discusses geopolitical events, military strategies, and natural disasters.  These topics are not typically suitable for children. The language used is also not child-friendly.",['English']
thZzcK5tgyM,Not Child Directed,Not Child Directed,"The content is an interview with a football player, discussing his career and experiences.  The topics and language used are not suitable for children.",['en']
Ds5Ntjn3gGA,Not Child Directed,Not Child Directed,"The video contains political commentary and discussion of sensitive topics such as fascism and comparisons to Adolf Hitler, making it unsuitable for children. The content is explicitly aimed at a mature audience interested in political analysis and current events.",['en']
l46MPAhi5wk,Not Child Directed,Not Child Directed,"The video discusses Star Trek lore, specifically focusing on the Federation's expansion into the Beta Quadrant.  The content is complex, involving geopolitical discussions of fictional interstellar powers and their territories. The vocabulary and themes are not suitable for children.",['English']
c3FFdZaPfeM,Not Child Directed,Not Child Directed,"The content discusses the Magic: The Gathering card game and its resale market, including high-value cards and economic aspects.  The subject matter, language, and overall tone are not suitable for children.",['English']
ZvZTbuxjloc,Not Child Directed,Not Child Directed,"The video is a review of mobile games, focusing on their graphics, gameplay, and ads. The reviewer expresses frustration with the poor quality of the games, using language like ""dookie"" and ""awful."" The content is not designed for children, and the games themselves are not child-friendly due to their poor quality and lack of child-appropriate themes.",['English']
5i3Y14TNqCI,Not Child Directed,Not Child Directed,"This CNBC news report discusses complex economic and trade issues between the US, Mexico, and China.  The content involves discussions of tariffs, trade wars, logistics, and manufacturing, which are not suitable topics for children. The visuals are primarily of trucks, maps, and interviews with business professionals, lacking child-appealing elements like animation or cartoonish characters. The vocabulary and subject matter are far too advanced for a child audience.",['English']
Ou15sXGWrBQ,Not Child Directed,Not Child Directed,"The content is a political discussion with serious topics like student loan forgiveness, immigration, and border security.  The language used is sophisticated and the themes are complex, making it unsuitable for children.",['English']
LzkRxJ7KL14,Not Child Directed,Not Child Directed,"The text contains graphic descriptions of violence and cannibalism, making it unsuitable for children.  The humor is dark and relies on morbid themes, which are not appropriate for a child audience.",['English']
GD8RUoOalBU,Not Child Directed,Not Child Directed,"The video discusses the science of making espresso-based coffee drinks.  The content is educational but focuses on technical aspects of coffee brewing, using terms like ""ristretto,"" ""refractometer,"" and ""soluble material."" The visuals are simple and not cartoonish. The overall tone is instructional and not designed to appeal to children.",['English']
UuXmB42bxJQ,Not Child Directed,Not Child Directed,"The content is a sports broadcast of a college football game.  The commentary includes descriptions of plays, player names, and strategic decisions. The visuals are of the game itself, showing players in action on the field. There are no child-appealing elements, and the content is not designed for children. The language used is appropriate for adults and includes sports jargon. Therefore, it does not meet the criteria for child-directed content.",['en']
HCurhJFehuw,Not Child Directed,Not Child Directed,"The video contains discussions of geopolitical issues, economic sanctions, military conflicts, and political elections.  The language used is sophisticated and the topics are complex, making it unsuitable for children.  There is no child-appealing content present.",['English']
Q0LdY-6J-_0,Not Child Directed,Not Child Directed,"The video is a discussion about learning C++, a complex programming language.  The content is technical and geared towards programmers, not children. The discussion includes advanced programming concepts and terminology that would be incomprehensible to children. Therefore, it does not meet the criteria for child-directed content.",['English']
PofMFlw8MJI,Not Child Directed,Not Child Directed,The lyrics contain mature themes and complex language inappropriate for children. The song's overall tone and style are not suitable for a child audience.,['English']
mAHbXWsLRio,Not Child Directed,Not Child Directed,"The song contains mature themes and complex lyrics that are not suitable for children.  While the music video features a family band, the overall content is not designed for or appealing to children.",['English']
zYNWqTytzE4,Not Child Directed,Not Child Directed,"The video contains political commentary and discussions about sensitive topics such as race and crime, making it unsuitable for children. The language used is also not appropriate for a child audience.",['en']
dF965ll2J0c,Not Child Directed,Not Child Directed,"The video is a gentle stretching routine for adults. While the instructions are simple and easy to follow, there are no child-appealing elements such as cartoons, whimsical themes, or child-friendly characters. The content focuses on adult health and well-being, and is not designed or intended for children.",['English']
U8NoBk5wuLM,Not Child Directed,Not Child Directed,"The content is a political discussion about the upcoming presidential election.  It includes adult themes, complex political analysis, and strong opinions, making it unsuitable for children.",['English']
rsBViJborWE,Not Child Directed,Not Child Directed,"The content includes mature themes, complex dialogue, and references to political issues, making it unsuitable for children.  The image is a political meme that uses imagery associated with Nazism, which is highly inappropriate for children.",['en']
9yjRbGgpaXE,Not Child Directed,Not Child Directed,"The content is a political commentary discussing election results and criticizing a political figure.  The themes, language, and subject matter are not appropriate for children.",['English']
tRR4I2EkXlc,Not Child Directed,Not Child Directed,"This news segment discusses a serious geopolitical event—military attacks between Israel and Iran.  The content includes discussions of military strategy, political tensions, and potential consequences, making it unsuitable for children. The language used is sophisticated and the subject matter is complex and potentially disturbing for young audiences.",['English']
rLdQxxdkbbo,Not Child Directed,Not Child Directed,"The video is a cooking tutorial for making black magic chocolate chip cookies.  While it uses playful language like ""dark and demonic twist"" and ""magical healing powers,"" the overall content and instructions are not geared towards children. The techniques and ingredients are not simplified for a younger audience, and the video does not contain child-appealing elements like cartoons or whimsical characters.",['en']
