ID,Label,Language,Justification
elsagate_2784,true,['English'],"This video is child-directed because it contains animated characters, playful themes, and family-friendly content. The characters are cartoonish and the scenarios are light-hearted. There is no inappropriate or irrelevant content."
elsagate_2796,false,['English'],"This video is not child-directed because it contains several scenes with romantic themes and suggestive content involving adults. For example, at timestamp 0:33, a woman is seen hugging a man from behind in a suggestive manner. At 1:35, a woman is shown in a bathroom in a revealing outfit. At 2:24, a man is shown wearing heart-shaped sunglasses and sticking his tongue out in a flirtatious manner.  These scenes are not appropriate for children and make the video unsuitable for a child audience."
elsagate_2800,false,['English'],"This video is not child-directed because it contains violent scenes, such as war and explosions, and also depicts a woman in a sexually suggestive manner. These elements are inappropriate for children and make the video unsuitable for a young audience. The timestamp for the inappropriate content is from 0:29 to 2:18 and from 2:20 to 2:59."
elsagate_2808,true,['English'],"This video is child-directed because it contains animated characters, playful music, and light-hearted themes. The content is suitable for children and does not include any inappropriate or irrelevant content."
elsagate_2816,true,['en'],"This video is child-directed because it uses cartoon characters, and the storyline is simple and family-friendly. There is no inappropriate content."
elsagate_2832,true,['Korean'],"This video is child-directed because it contains animated characters, playful themes, and is visually appealing to children. There is no inappropriate content."
elsagate_2836,true,['English'],"This video is child-directed because it contains animated characters, family-friendly themes, and a light-hearted portrayal of a birth.  There is no inappropriate or irrelevant content."
elsagate_2850,true,['English'],"This video is child-directed because it contains animated characters, playful animals, and a light-hearted portrayal of themes like mischief and conflict, all of which are commonly enjoyed by children. There is no inappropriate or irrelevant content."
elsagate_2858,false,['English'],This video is not child-directed because it contains inappropriate content such as sexualized depictions of minors at various timestamps throughout the video.
elsagate_2874,false,['en'],"This video is not child-directed because it contains religious content and romantic themes involving adults.  Additionally, there are scenes of violence, such as a car crash and a kidnapping, which are not suitable for children."
elsagate_2878,false,['English'],This video is not child-directed because it contains sexual content and suggestive themes involving adult characters. The inappropriate content starts from 0:18 and continues throughout the video.
elsagate_2895,false,['English'],This video is not child-directed because it contains inappropriate content such as sexual content and violence. The video shows suggestive scenes between animated characters and depicts graphic violence involving an octopus attacking a character. These elements are not suitable for children and violate content guidelines for child-directed videos. The inappropriate content starts at timestamp 1:59.
elsagate_2899,false,['English'],This video is not child-directed because it contains inappropriate content such as sexual themes and suggestive behavior. The presence of an octopus in bed with a girl at [00:00:59] and other similar scenes makes it unsuitable for children.
elsagate_2910,true,['en'],"This video is child-directed because it contains animated characters, playful elements, and a light-hearted storyline suitable for young viewers. There is no inappropriate or irrelevant content."
elsagate_2914,true,['English'],"This video is child-directed because it contains animated characters, playful themes, and family-friendly adventures. There is no inappropriate or irrelevant content."
elsagate_2925,false,['en'],"This video is not child-directed because it contains scenes with romantic themes involving adults and religious content.  Additionally, there are scenes of violence, such as a car crash and a kidnapping. These elements are not suitable for children."
elsagate_2962,true,['English'],"This video is child-directed because it contains animated characters, playful animals, and light-hearted themes suitable for children. There is no inappropriate or irrelevant content."
elsagate_3288,false,['English'],"This video is not child-directed because it contains sexualized depictions of cartoon characters.  The characters are shown in various states of undress, and the overall tone and visuals are suggestive. This is inappropriate for children. The entire video contains inappropriate content."
elsagate_3311,false,['und'],"This video is not child-directed because it contains inappropriate content such as a scene where a man dressed as Spiderman drinks from a bottle in a suggestive manner at timestamp 1:38.  Additionally, the video features characters in adult costumes and does not have child-appealing elements."
