Video Id,Primary Label,Predicted Label,Response,Languages
PFNtS5E5VTo,child directed,appropriate,"The video shows children participating in a go-kart race with a Lego Disney Princess theme. The audio transcription indicates excitement and fun. There is no violence, sexual content, or other inappropriate elements present in the video or audio. Therefore, the video is appropriate for children.",['English']
a3FUPmqyz74,child directed,appropriate,"The video shows children enjoying a water park. The audio transcription expresses excitement and enthusiasm about the summer break and the water park's attractions.  There is no violent, graphic, sexual, or discriminatory content. The overall tone and content are suitable for children. Therefore, the video is appropriate.",['Swedish']
dMBevlP_R_g,child directed,appropriate,"The video shows children playing with toys and the audio transcription mentions ninja skills. There is no violence, inappropriate language or any other concerning elements.  Therefore, the video is appropriate.",['English']
enNOZJSDFFs,child directed,appropriate,"The video shows various summer activities at a resort, including a child being carried on an adult's shoulders, a person riding a type of cart, someone bungee jumping, a person waterskiing, and a person mountain biking.  The audio is just outro music and a thank you. There is nothing inappropriate in this video. ",['Swedish']
fOdo1GkzZAk,child directed,appropriate,"The video is appropriate for children.  The content focuses on basic math problems and uses cartoonish monsters as characters. There is no violence, graphic content, or inappropriate themes. The video promotes learning and positive messages, making it suitable for young viewers.",['English']
l-wtFtZn-QU,child directed,appropriate,"The video appears to be a promotional video for a collaboration between Lego and Disney. The visuals show Lego creations of Disney characters and settings, and some dancing. The audio transcription is positive and doesn't mention any inappropriate content. There is no violence, sexual content, or anything else that would make it inappropriate for children. Therefore, the video is appropriate.",['English']
lM01TQKLYF0,child directed,appropriate,"The video shows two cartoon cats making a heart shape with their hands.  There are other cartoon animals in the background.  The text overlay mentions a premiere date. There is no violence, sexual content, or other inappropriate elements. Therefore, the video is appropriate for children.",['Swedish']
pNQvIPHsNT4,child directed,appropriate,"The video is appropriate for children.  The visuals depict Lego toys and characters in a lighthearted, playful manner. There is no violent, graphic, or sexually suggestive content. The audio transcription is a simple story narration, also suitable for children.  The story is light-hearted and focuses on friendship and imaginative play.",['English']
oaEb34AYL48,inappropriate,inappropriate,"The audio transcription contains violent lyrics, including references to drug dealing, violence, and threats.  The visual content seems to depict scenes that might reinforce those themes. This combination of violent lyrics and potentially reinforcing visuals makes the video inappropriate for children.",['Punjabi']
9T9I56-c72g,inappropriate,inappropriate,"The audio transcription contains sexual innuendos and suggestive lyrics (""Me llama pa' que la visite"", ""Que se lo ponga y se lo quite"",  descriptions of sexual acts). The visual content is also suggestive, featuring stylized depictions of people in suggestive poses.  Therefore, the video is inappropriate for children.","['Spanish', 'English']"
_PF66j7Fmjo,inappropriate,inappropriate,"The video is inappropriate for children due to several factors present in both the visual and audio content. The lyrics contain suggestive language, boastful and arrogant claims, references to money and commercialism within a spiritual context, and mentions of tantric practices, making it unsuitable for a young audience.  The visuals also include potentially suggestive scenes, such as the performer's dance moves and attire. Therefore, the combination of explicit lyrics and suggestive visuals classifies the video as inappropriate.",['en']
25CTmfakE0w,inappropriate,inappropriate,"The video is inappropriate for children due to the presence of weapons (in a game setting) and the potential for violence, even if cartoonish.  The game's nature, even if not overtly violent in this clip, still falls under the category of first-person shooter/battle game, making it potentially unsuitable for younger audiences. The audio transcription 'Outro Music' does not provide further contextual information to change the assessment.",['English']
uomGqi_nFxo,inappropriate,inappropriate,"The audio transcription contains sexually suggestive lyrics (""Ra chori, ra chori""), and the video appears to depict suggestive dance moves and potentially inappropriate attire.  The repeated use of the phrase ""slave"" is also concerning. Therefore, the content is inappropriate for children.","['Hindi', 'English']"
tQk6tR89eb0,inappropriate,inappropriate,"The audio transcription reveals lyrics expressing themes of despair, self-harm, and a sense of being lost and trapped.  Phrases like ""I'm a loser,"" ""Save me,"" and descriptions of feeling trapped in darkness point towards potentially disturbing content for children.  While the visual content alone might not be explicitly inappropriate, the combination of the lyrics and visual scenes (which seem to depict a dark and somewhat unsettling atmosphere, judging from the provided images) makes the video inappropriate for children.",['Korean']
