,Video Id,Primary Label,Predicted Label,Response,Languages
0,5njbn5VUw3I,inaudible,appropriate,The video is an advertisement for a local electronics retailer. It features a 3D animated heart with text overlay on a nature background. The text is in German and promotes the business. There is no inappropriate content present in the video.,['German']
1,_axD_oF_PU8,irrelevant,appropriate,"The video is an advertisement for a mobile application. It shows a hand holding a phone, showcasing the app's interface and features.  There is no violence, sexual content, or other inappropriate elements. The audio describes the app's offer in Arabic. Therefore, it's appropriate for young children.",['Arabic']
2,RBNWrSdbe_Y,irrelevant,appropriate,"The video is an advertisement for Colgate toothpaste. It shows the product, some close-up shots of teeth, and a person brushing their teeth. There is no inappropriate content present. The language spoken is Swedish.",['Swedish']
3,KTHd09COUdY,child directed,inappropriate,"The video contains scenes of violence and intense action, making it unsuitable for young children.  The audio includes dialogue that, while not explicitly profane, is suggestive of conflict and could be frightening for young viewers. The partially nude scene is also inappropriate for children.",['French']
4,R31f6oVGp8E,irrelevant,appropriate,The video is an advertisement for a children's nutritional drink. It shows a mother preparing the drink for her child and children engaging in positive activities.  There is no inappropriate content present. The advertisement focuses on the health benefits of the product.,['Urdu']
5,qGJziQ8L7UY,inappropriate,appropriate,"The video is an advertisement for Min Doktor, a healthcare service. It shows diverse people of different ages and relationships using the service. There is no violence, sexual content, or other inappropriate material present. The audio is a voiceover in Swedish describing the service and its accessibility. Therefore, the video is appropriate for young children.",['Swedish']
6,3yqLnwf2ORE,irrelevant,appropriate,"The video is an advertisement for a robot vacuum cleaner. It shows the product cleaning different surfaces and emphasizes its suction power. There is no inappropriate content, violence, or suggestive themes. The audio is a voiceover describing the product's features and actions. Therefore, the video is appropriate for young children.",['English']
7,-cNATk4-s18,irrelevant,appropriate,"The video promotes environmental activism and encourages viewers to get involved in protecting the environment.  It shows people participating in outdoor activities like kayaking, cycling, and rock climbing, and uses uplifting music. There is no inappropriate content present.",['English']
8,eiZCsCCEBmk,inaudible,appropriate,The video is an advertisement for House of Butterfly.  It uses imagery of helping hands and mentions cashback offers. There is no inappropriate content present. The language used is Bengali.,['Bengali']
9,EO5XT4UvpYw,inaudible,appropriate,"The video is an advertisement for a motion design course.  It uses bright colors, animated graphics, and upbeat music. There is no violence, inappropriate language, or other content that would be considered unsuitable for children. The only text is in Russian, advertising the course and highlighting student work. ",['Russian']
10,vkBR70LAMuE,inaudible,appropriate,"The video is an advertisement for an online course.  The visuals are simple and non-offensive, showing text on screen and some simple animations. The audio is instrumental music. There is no violence, sexual content, or other inappropriate material present. Therefore, the video is appropriate for young children.",['Japanese']
11,BTpKhsOV2Pw,inaudible,appropriate,"The video is an advertisement for QSEC, a company that performs energy optimization. It shows a man holding a ventilation control document. The audio is instrumental music. There is no inappropriate content present in the video. The language spoken is Swedish.",['Swedish']
12,h-rAk_zOLiU,irrelevant,appropriate,"The video shows a fashion model wearing clothes from Levi's. There is no inappropriate content, such as violence, sexual content, or discrimination. The music has no lyrics. Therefore, the video is appropriate for young children.",[]
13,Cq1QdZiVAYg,inaudible,appropriate,"The video shows a scenic landscape of a rice paddy field with mountains in the background. A bicycle is visible in the foreground. The audio is a song in Vietnamese, with lyrics about love and longing. There is no inappropriate content present in the video or audio.",['Vietnamese']
14,0d1mlqnRdyQ,inaudible,appropriate,The video shows a montage of people from different parts of Bangladesh.  There is no inappropriate content present. The audio is in Bengali and consists of people stating their location and who they are with.,['Bengali']
15,ITSlKA4BlwU,inaudible,appropriate,"The video is an advertisement for a cooking oil brand. It shows two men having a conversation, and then a text appears on the screen. There is no violence, sexual content, or anything else that would be considered inappropriate for children. The language spoken is Bengali.",['Bengali']
