,Video Id,Primary Label,Predicted Label,Response,Languages
0,DAp5f9GaxM0,inappropriate,inappropriate,"The video contains significant romantic intimacy, making it inappropriate for children.  The couple is shown holding hands, embracing, kissing, and engaging in other intimate behaviors throughout the video. While there is no explicit nudity or sexual content, the level of romantic intimacy is high enough to warrant an inappropriate label.",['Punjabi']
1,Ix-mCljuPgI,irrelevant,inappropriate,"The video contains depictions of alcohol consumption and profane language, making it inappropriate for children.",['Spanish']
2,TOj784PChEU,inappropriate,inappropriate,"The music video contains several elements that would make it inappropriate for children.  These include: profane language, depictions of drug use (smoking), and the display of expensive jewelry and cash, which could promote materialism. The overall tone and style of the video are also suggestive of adult themes.",['English']
3,tYKduNKGmUI,inappropriate,appropriate,"The song is a romantic Punjabi song. The video shows the singer and a female model interacting in various locations, including a cafe, a street, and a train station. There is no violence, graphic content, self-harm, horror, or sexual content. The language used is Punjabi, and there is no profane or explicit language. Therefore, the video is appropriate.",['Punjabi']
4,Nipeto2bt3U,inappropriate,inappropriate,"The song contains significant romantic intimacy and vulgar dancing. Therefore, it is inappropriate for children.",['Kannada']
5,9T9I56-c72g,inappropriate,inappropriate,"The audio contains sexual innuendos and suggestive lyrics.  The visual content features stylized cartoonish depictions of the artists, but the overall theme and lyrics are inappropriate for children.","['Spanish', 'English']"
6,AYiAJnzFILc,inappropriate,inappropriate,"The music video contains scenes of violence, weapons, and suggestive dancing.  The lyrics also contain suggestive themes. Therefore, it is inappropriate for children.",['Punjabi']
7,c0JoY05GDww,irrelevant,appropriate,"The video contains dancing and singing.  There is no violent or graphic content, self-harm or suicide, elements of horror or creepy themes, loud and violent sounds, zombies, skeletons, scary masks, scary clowns, fire in dangerous settings, extremely distressing scenes, extreme stunts, fight sports, first-person shooter and battle games, weapons, sexual content, vulgar dancing, discrimination, profane or explicit language, drinking, drugs, smoking, gambling, crude humour, inappropriate clothing, or significant romantic intimacy. The language being spoken is Punjabi.",['Punjabi']
8,Lp-VL7MxNbQ,irrelevant,appropriate,The video contains a song about mothers. The song is performed by a group of singers and musicians. There is nothing inappropriate in the video or audio.,['Bengali']
9,Uix8kB4TPnY,irrelevant,inappropriate,"The music video contains children in what appears to be a poor neighborhood. While there is no graphic content, the children are shown in a setting that may be considered unsafe or disturbing to some viewers.  Additionally, the lyrics contain references to guilt and the idea that the viewer is a joke, which may not be suitable for all audiences. The dance moves performed by the children are also quite intense and may be considered inappropriate for younger viewers.","['Hindi', 'English']"
10,JeNzJE-H9_w,child directed,appropriate,"The video is appropriate for children. It contains cartoonish animation of a family and their child. The audio is a dialogue between the family members, which is not violent or offensive. The themes are related to family life and education, which are suitable for children.",['Bengali']
11,pmJdFF_ahV0,inappropriate,inappropriate,"The video contains elements of horror and creepy themes, such as scary masks and a dark and mysterious atmosphere.  The song's lyrics, while not explicitly violent, deal with themes of heartbreak and loss, which might be emotionally disturbing for younger viewers. The overall tone and imagery are not suitable for children.",['Arabic']
12,Ou6aoi8oylQ,inappropriate,inappropriate,The video contains significant romantic intimacy between a man and a woman.  The lyrics of the song also allude to romantic love. This makes it inappropriate for children.,['Hindi']
13,JNS1wyapTSI,irrelevant,appropriate,"The video is about a product review of a OnePlus 11R phone. The reviewer is talking about the phone's features, specifications, and performance. There is no violent or graphic content, self-harm or suicide, elements of horror or creepy themes, loud and violent sounds, zombies, skeletons, scary masks, scary clowns, fire in dangerous settings, extremely distressing scenes, extreme stunts, fight sports, first-person shooter and battle games, weapons, sexual content, vulgar dancing, discrimination, profane or explicit language, drinking, drugs, smoking, gambling, crude humor, inappropriate clothing, or significant romantic intimacy. Therefore, the video is appropriate.",['English']
14,7dWVS8Ieezg,irrelevant,inappropriate,"The video contains a scene where a police officer pulls over a car. While there is no explicit violence, the context of a police stop in a desert setting could be perceived as tense and potentially frightening for young children.  Additionally, the advertisement features the consumption of Pepsi, which is inappropriate for children.",['Urdu']
15,KmFEk-EdEN8,irrelevant,appropriate,"The video shows people drinking tea and celebrating. There is traditional dancing and singing.  There is no violence, sexual content, or other inappropriate material present. The language is Arabic.",['Arabic']
16,tfpjMJGDs7g,irrelevant,appropriate,"The video shows farm equipment and machinery.  There is no violence, sexual content, or other inappropriate material present. The audio is a voiceover narration describing the equipment. Therefore, the video is appropriate.",['English']
17,ZYO9LyvARwM,irrelevant,appropriate,"The video is appropriate because it advertises a cleaning service.  The content is focused on cleaning and organizing a home, and there is no violence, sexual content, or other inappropriate material present. The language used is clean and professional.",['English']
18,PoJvTWd1lYE,irrelevant,appropriate,"The video showcases clothing from a brand called 'almirah'. It features a male model in various outfits in different locations. There is no violence, sexual content, or any other inappropriate content. The audio is mostly background music, with some brief English dialogue. Therefore, the video is appropriate.",['English']
19,3Y8CrG4lHGY,irrelevant,appropriate,"The video demonstrates how to build a beauty product bundle on a website.  It shows the website's interface and the steps involved in selecting products, choosing delivery frequency, applying discounts, and completing the purchase. There is no inappropriate content present in the video.",['English']
20,pkh1qXYhoRk,irrelevant,appropriate,"The video shows a company's activities and employees. There is no violent or graphic content, self-harm or suicide, elements of horror or creepy themes, loud and violent sounds, zombies, skeletons, scary masks, scary clowns, fire in dangerous settings, extremely distressing scenes, extreme stunts, fight sports, first-person shooter and battle games, weapons, sexual content, vulgar dancing, discrimination, profane or explicit language, drinking, drugs, smoking, gambling, crude humor, inappropriate clothing, or significant romantic intimacy. Therefore, the video is appropriate for children.",['French']
21,u3G5zR3a-XQ,irrelevant,appropriate,"The video is an advertisement for a Swedish online store that sells floor heating. It shows the warehouse and employees. There is no violence, sexual content, or other inappropriate material. The language spoken is Swedish.",['Swedish']
22,ZNCpcFEjpdI,irrelevant,appropriate,"The video shows the construction and transport of wind turbines for an offshore wind farm.  There is no violence, sexual content, or other inappropriate material present. The audio consists of background sounds and a voiceover narration describing the process, which is also appropriate. Therefore, the video is deemed appropriate.",['English']
23,QDuflAy2pyU,irrelevant,appropriate,"The video shows a security system.  There is no violence, graphic content, sexual content, or anything else that would make it inappropriate for children. The only audio is a brief exchange between a delivery person and someone inside the house, which is innocuous. ",['English']
