Video Id,Primary Label,Predicted Label,Response,Languages
8lKOsKvGmrQ,child directed,appropriate,"The video is an advertisement for Lego products sold at Smyths Toys Superstores. It shows a man assembling Lego sets, and it features images of Lego boxes with prices and discounts. There is no violence, inappropriate language, or any other content that would be considered unsuitable for children under 9. The background music is upbeat and cheerful. Therefore, the video is appropriate for children under 9.",['German']
3FsjCqCTX_w,irrelevant,appropriate,"The video is an advertisement for Samsung Galaxy S23. It uses animated graphics with a pixelated cat and other playful elements. There is no violence, sexual content, or any other inappropriate material present. The audio is a voiceover in Spanish explaining the ad's call to action, which is to share content using a specific hashtag.  Therefore, it's appropriate for children under 9.",['Spanish']
y5yMEcs2TzU,irrelevant,appropriate,"This is an advertisement for Shutterfly, a photo printing and gifting service. The video shows families enjoying time together, taking photos, and then using Shutterfly to create photo books, wall art, and other gifts. There is no violence, sexual content, or other inappropriate material present. The language used is English. Therefore, this video is appropriate for children under 9.",['English']
wS-5y9kWcBk,irrelevant,appropriate,"This is an advertisement for a website building service. The video shows a man in a kitchen setting talking about his experience using the service. There is no violence, sexual content, or other inappropriate material present. The language used is clean and appropriate for all ages. Therefore, the video is appropriate for children under 9.",['English']
kEMXZu2scKE,irrelevant,appropriate,"This is an advertisement for Grammarly Go, a writing assistant software. The video shows a man using the software in various work settings. There is no violence, sexual content, or other inappropriate material present. The video is appropriate for children under 9.",['English']
Vf7C6ys7I9Q,irrelevant,inappropriate,"The video shows people performing extreme stunts on skateboards, which could be dangerous for children to imitate.  The video also includes scenes in dark and potentially unsafe locations, which could be concerning for parents. Therefore, I would consider this video inappropriate for children under 9.",['English']
eoxbY6EDKlY,irrelevant,appropriate,"The video shows families enjoying a swimming pool. There is no violence, sexual content, or other inappropriate material present.  The audio is a song advertising the pools, and the visuals match the audio. Therefore, the video is appropriate for children under 9.",['English']
OHiotm-WzYE,irrelevant,appropriate,"This is an advertisement for Stylo, a clothing brand. It shows women and children modeling clothes and shoes from the brand. There is upbeat music playing in the background, and the overall tone is positive and festive. There is no violence, sexual content, or other inappropriate material present. Therefore, this video is appropriate for children under 9.",['Urdu']
atE1zCE23e8,irrelevant,appropriate,"The video shows scenic views of Gotland, Sweden, and depicts people enjoying various activities such as driving, dining, and walking on the beach. There is no violence, sexual content, or other inappropriate material present. The music is upbeat and cheerful. Therefore, the video is appropriate for children under 9.",['Swedish']
q-jrhuKvJZQ,irrelevant,appropriate,"The video is an advertisement for Nike Pegasus shoes. It shows people of different ages and ethnicities running and exercising in urban settings. There is no violence, sexual content, or other inappropriate material. The background music is upbeat and positive. The language spoken is French. Therefore, the video is appropriate for children under 9.",['French']
Jm2FtxPupS4,irrelevant,appropriate,"This is an advertisement for a Transcash card, which is a prepaid card for teenagers. The video shows a teenager video chatting with his parents, asking for a money transfer. The parents are shown on a tablet screen. The parents ask the teenager about his room, implying that he may not be keeping it tidy. The teenager then shows himself on a beach, implying that he is having fun. The parents then transfer the money to the teenager's card. The advertisement is not inappropriate for children under 9. It does not contain any violence, sexual content, or other inappropriate material. The language spoken is French.",['French']
OEXEKSJH360,irrelevant,appropriate,"The video shows a man standing in front of a screen that displays a nighttime scene of a city street. He is speaking in Urdu about a pre-launch offer for Q-Links High Street. The offer includes a 7% discount on bookings and an 8% monthly rental income. The offer is valid until March 22, 2023. There is no inappropriate content in the video. Therefore, it is appropriate for children under 9.",['Urdu']
YT4Xgnuj9nU,irrelevant,appropriate,"The video demonstrates a car sunshade.  There is no violence, sexual content, or other inappropriate material present. The language used is Arabic.",['Arabic']
yUVJLYndRx4,irrelevant,appropriate,"The video is an advertisement for an online store called Marjane Mall. It shows various products from different brands in an unboxing format. There is no violence, sexual content, or any other inappropriate content for children. The background music is upbeat and cheerful. The language spoken is Arabic.",['Arabic']
srsDcnlPeOo,irrelevant,appropriate,"The advertisement is for parking services in Paris. The video shows parking garages, cars, and some text overlays with pricing and other details. There is no violence, sexual content, offensive language, or other elements that would make it inappropriate for children under 9.",['French']
Qx7kfnN8624,irrelevant,appropriate,"The video is an advertisement for office furniture. It shows people in various work settings, some working on computers, others in meetings, and one person getting a massage. There is no violence, sexual content, or other inappropriate material. The language used is Swedish.",['Swedish']
_W6im5sQiyw,irrelevant,appropriate,"The video shows two men in business attire talking in a trade show. The conversation is about business and the economy. There is no violence, sexual content, or other inappropriate material present. Therefore, the video is appropriate for children under 9.",['English']
EhZY-wQCeL8,irrelevant,appropriate,"The video is an advertisement for jewelry. It shows diverse women in various settings, such as the beach and a car, wearing the advertised jewelry. There is no violence, sexual content, or other inappropriate material present. The music is upbeat and non-lyrical. Therefore, the video is appropriate for children under 9.",[]
