Video Id,Primary Label,Predicted Label,Response,Languages
PFNtS5E5VTo,child directed,appropriate,"The video shows children engaging in a fun kart race. The audio transcription is also positive and enthusiastic. There is no violence, inappropriate language, or other concerning elements present in the video or its description. Therefore, it's considered appropriate for children under 9.",['English']
a3FUPmqyz74,child directed,appropriate,"The video ad is appropriate for children under 9.  The visuals depict a water park with children happily enjoying the facilities. There is no violence, self-harm, sexual content, discrimination, offensive language, or other inappropriate elements. The audio transcription expresses excitement and enthusiasm for the water park, which is consistent with the visuals.  The language is Swedish.",['Swedish']
dMBevlP_R_g,child directed,appropriate,"The video is an advertisement for Lego Ninjago toys. It shows children playing with the toys and includes some action scenes, but nothing that would be considered inappropriate for children under 9. The language used is Swedish, but it is simple and easily understandable. There is no violence, self-harm, or other inappropriate content present.",['Swedish']
enNOZJSDFFs,child directed,appropriate,"The video shows various summer activities at a resort, including a zip line, rock climbing, a ride on a cart, and water skiing.  There is no violence, sexual content, or anything else that would be considered inappropriate for children under 9. The audio is simply outro music and a thank you, which is also appropriate for children. Therefore the video is appropriate.",['Swedish']
fOdo1GkzZAk,child directed,appropriate,"The video is about math for kids. It uses cartoonish characters and focuses on teaching addition. There is no violence, discrimination, offensive language, or inappropriate content. The characters are friendly, and the animation style is bright and cheerful. Therefore, it's appropriate for children under 9.",['English']
l-wtFtZn-QU,child directed,appropriate,"The video appears to be a promotional clip for a collaboration between Lego and Disney.  The audio transcription is positive and focuses on creativity. The visuals show animated characters and people dancing. There is nothing in the provided audio or video that would align with any of the categories of inappropriate content for children under 9 listed in the prompt. Therefore, I label this video as appropriate.",['English']
lM01TQKLYF0,child directed,appropriate,"The provided video appears to be an advertisement for a children's movie, ""Pelle Svanslös"". The visuals are animated and feature cartoon cats. There is no violence, sexual content, or other elements that would typically be considered inappropriate for children under 9.  The text mentions a premiere date.  Overall, the video seems suitable for children.",['Swedish']
pNQvIPHsNT4,child directed,appropriate,"The video is a Lego Disney advertisement featuring Elsa from Frozen.  The visuals are cartoonish and lighthearted, showing Lego figures in various playful scenarios. The audio transcription mentions friends, a playful problem (troubled brothers), and a call to action to continue the story on a website, promoting creativity and play. There is no violence, inappropriate language, sexual content, or other elements that would make it inappropriate for children under 9. Therefore, it's labeled as 'appropriate'.",['English']
oaEb34AYL48,inappropriate,inappropriate,"The audio transcription contains violent lyrics such as threats (""I'll cut off your head""), references to drug dealing (""I sell drugs in my area""), and self-identification with criminal activities (""I'm a thug"").  The visuals, while not overtly violent, depict scenes that could be interpreted as suggestive or concerning depending on a child's maturity level. The combination of lyrics and visuals makes the content unsuitable for children under 9.",['Punjabi']
9T9I56-c72g,inappropriate,inappropriate,"The audio transcription contains sexually suggestive lyrics, including references to sexual acts and body parts.  The visual content depicts stylized figures in suggestive poses, which would likely be interpreted as sexually suggestive by a child. The overall combination of suggestive visuals and lyrics makes the video inappropriate for children under 9.","['Spanish', 'English']"
