Video Id,Primary Label,Predicted Label,Response,Languages
73xAd7Xl_y8,Child Directed,Child Directed,"This video features a young child playing with building blocks and a toy house. The visuals are colorful and cartoonish, and the audio includes repetitive phrases and exclamations common in children's videos. The overall tone is light-hearted and playful, making it suitable for a young audience.",['English']
1gg0oItw1jwandab,Child Directed,Child Directed,"This video is child-directed because it features child actors, a playful storyline about finding a lost baby, and uses simple language and themes easily understood by young children. The visuals are colorful and cartoonish, and the overall tone is light-hearted and non-violent.  The presence of mild peril (a lost baby) is presented in a way that is appropriate for children, and resolved happily. The video also includes elements like songs and rhythmic exclamations that appeal to young viewers.",['Hindi']
9GsZewPCV5g,Child Directed,Child Directed,"This video is child-directed because it features cartoon characters, playful themes, and simple language suitable for young children. The video shows children playing with toys and engaging in imaginative play, which is typical of content aimed at young audiences. The bright colors, upbeat music, and repetitive phrases also contribute to its child-directed nature.","['Hindi', 'English']"
Hl1I2eX8jNU,Child Directed,Child Directed,"This video features Paw Patrol characters, cartoonish visuals, and a playful narrative about moving into a new house and going to school.  The simple language, repetitive phrases, and focus on everyday activities make it clearly designed for a young audience. The lighthearted tone and lack of mature themes further support its classification as child-directed.","['Hindi', 'English']"
ecY2jXMd4ec,Child Directed,Child Directed,"This video features young children playing with toy cars. The visuals are colorful and cartoonish, and the dialogue is simple and repetitive, typical of content aimed at young children.  The playful and light-hearted nature of the video, along with the child-like exclamations and repetition, strongly suggests it is designed for a child audience.",['English']
jspcidvhJek,Child Directed,Child Directed,"This video features cartoonish animation, a playful song with a simple repetitive structure, and light-hearted themes.  The visuals are colorful and appealing to children. The song's lyrics, while nonsensical in parts, are not inappropriate for children. Therefore, it meets the criteria for child-directed content.",['Hindi']
9RzmsDC3yhQ,Child Directed,Child Directed,"This video features two young boys engaging in playful activities, using child-like language and exhibiting behavior typical of young children. The visuals are bright and colorful, and the overall tone is light-hearted and whimsical.  The content aligns with the criteria for child-directed content, making it suitable for a young audience.",['English']
qcOiqtMsjes,Child Directed,Child Directed,"This video features cartoonish visuals, a simple narrative, and rhythmic elements (songs and chants) that are commonly appealing to young children. The themes are light-hearted and non-violent.  The presence of both Spanish and English makes it accessible to a wider audience, including those learning languages. Therefore, it meets the criteria for child-directed content.","['Spanish', 'English']"
CkAuC86OoC8,Child Directed,Child Directed,"This video features children playing with kittens, using child-like language and exclamations. The visuals are bright and colorful, and the overall tone is light-hearted and playful.  These elements strongly suggest that the content is designed for and appeals to a child audience.","['English', 'Malay']"
4pFSGO76NVg,Child Directed,Child Directed,"This video is an animated cartoon featuring a crow. The visuals are colorful and cartoonish, the story is simple, and the narration uses repetitive phrases, all of which are elements commonly found in children's content.  The overall tone and style are clearly aimed at a young audience.",['Hindi']
