Video Id,Primary Label,Predicted Label,Response,Languages
kvdODh_vd6Q,Not Child Directed,Not Child Directed,"The content is not child-directed because it features mature themes, complex dialogue, and strong language. The video discusses the ethics of scientific research, referencing potentially disturbing experiments and using profanity. These elements make it unsuitable for a child audience.",['English']
G3WmER1hjmA,Not Child Directed,Not Child Directed,The video is a discussion of a town hall meeting with Senator JD Vance. The topics discussed are politics and current events.  The language used is adult and the topics discussed are not suitable for children. The video does not contain any child-appealing elements.,['English']
cIAoz2ebBoU,Not Child Directed,Not Child Directed,"This video is a walkthrough for a video game Easter egg hunt. The game involves shooting zombies, which is inherently violent. The video also includes some mild profanity.",['English']
xzm1IjzPwsw,Not Child Directed,Not Child Directed,"This is a news report about a significant earthquake that caused building collapses in Turkey and Greece.  The content is serious and discusses potential casualties and damage; therefore, it is not suitable for children.",['English']
lkAYu1J6rdk,Not Child Directed,Not Child Directed,"This video discusses topics related to video games and gaming culture.  While some game clips shown are colorful and cartoonish, the overall content, language, and themes are not geared towards children. The presenter discusses mature themes such as competition, obsession, and the desire to be the best, using language and concepts that would be difficult for children to grasp.  The overall context is not intended for a child audience.",['English']
E9z6IhFAGAk,Not Child Directed,Child Directed,"This video is child-directed because it features cartoonish visuals, light-hearted themes, non-violent gameplay, and simple narratives suitable for children. Although there are some elements of mischief and conflict, they are presented in a playful and non-threatening manner. The characters' speech is also simplified and easy for children to understand.",['English']
pcOj9k787b0,Not Child Directed,Not Child Directed,"The content of this video is a political discussion about Donald Trump and his potential future actions. It involves serious and complex topics, such as authoritarianism, constitutional crises, and immigration policy, which are not suitable for children. The emotional tone of the speaker is also quite intense. Therefore, it is not considered child-directed.",['English']
jTCwU5CDeLE,Not Child Directed,Not Child Directed,"The video is a tutorial for adults on how to decorate for Thanksgiving and Christmas. The content is not explicitly created for children and does not include child-appealing elements. It features adult-level crafting and decorating techniques, which are not suitable for children. Therefore, it is labeled as ""Not Child Directed"".",['English']
XvM49ayRHa8,Not Child Directed,Not Child Directed,"This video is a walkthrough for a video game. The game's content includes violence and the walkthrough shows violence in the gameplay. Therefore, the video is not child-directed.",['English']
dK2uKyBgdEc,Not Child Directed,Not Child Directed,"This video discusses the aftermath of a tragic stabbing incident in Nottingham, England, resulting in the deaths of three individuals, including two teenagers.  The content includes emotional interviews with the mother of one of the teenage victims, and graphic details of the incident.  Given the mature themes of violence, death, and grief, along with the emotional distress expressed by the interviewee, the video is clearly not suitable for children.",['English']
oHIRJmi0Gw8,Not Child Directed,Not Child Directed,"This video is a discussion of a basketball game between the Lakers and the Rockets.  It includes highlights from the game, and commentary from sports analysts. The content is not designed for children, nor does it contain child-appealing elements.",['English']
k5fuSGBfOUg,Not Child Directed,Not Child Directed,"The video is a playthrough of a video game. While some of the visuals are cartoonish, the gameplay involves violence and combat, and the dialogue is not child-friendly. The themes are not whimsical or playful, but instead focus on strategy and competition. Therefore, this video is not considered child-directed.",['English']
sv-kUILhAfo,Not Child Directed,Not Child Directed,"The content is primarily focused on a discussion of a professional basketball game between the Brooklyn Nets and the Los Angeles Lakers.  The commentary includes analysis of players' performances, strategic decisions, and the overall dynamics of the game. Although some light-hearted moments and humorous remarks are present, the overall tone and subject matter are not primarily aimed at a child audience.",['English']
SgtoGsnr-K0,Not Child Directed,Not Child Directed,The video shows a rugby match between Benetton and Bulls. The content is not designed for children and does not have child-appealing elements.,['English']
oKylKtfLMmM,Not Child Directed,Not Child Directed,"This video is a walkthrough for an Easter egg in a video game.  The game is violent, and the video includes mature language. For these reasons, it is not child-directed.",['English']
J1UwRLgJS3A,Not Child Directed,Not Child Directed,"The video is a playthrough of a racing game and includes discussion of the game's updates and features. The content is not explicitly created for children and features mature themes and language.  Therefore, it does not meet the criteria for child-directed content.",['English']
HNqhoeytA0I,Not Child Directed,Not Child Directed,"This video discusses the James Webb Space Telescope, a complex scientific instrument.  The content is not designed for children and does not include child-appealing elements. While some of the visuals are colorful, the overall subject matter is too advanced and technical for a child audience.","['French', 'English']"
P-w72ZOIH6M,Not Child Directed,Not Child Directed,"The video discusses the war in Ukraine and the involvement of North Korean troops. It includes graphic footage of military operations and explosions. The language used is not simplified, and the content is not designed to appeal to children. Therefore, it is not considered child-directed.",['English']
S8H_9EoomyI,Not Child Directed,Not Child Directed,"The video discusses adult themes such as cults and their involvement in various businesses.  The content is not suitable for children due to mature topics, complex dialogue, and the lack of child-appealing elements.",['English']
QKelyF6VDIM,Not Child Directed,Not Child Directed,"The video discusses the treatment of tracheal collapse in dogs.  The subject matter is not appropriate for children. While there are some cute animals shown in the video, it is not child-directed because the content of the video is about diagnosing and treating a specific medical condition in dogs. There is no educational content that would appeal specifically to children.",['English']
Vpy8Jzlkk3g,Not Child Directed,Not Child Directed,"This video discusses the war in Ukraine and the aftermath of a tropical storm in the Philippines.  The content includes graphic scenes of warfare and destruction from the storm, both of which are inappropriate for children.","['English', 'Russian', 'Tagalog']"
thZzcK5tgyM,Not Child Directed,Not Child Directed,"The content is primarily an interview with a professional athlete.  The interviewee discusses aspects of his career and makes choices regarding his preferences among different options, which are presented in the format of a sticker book. This is not a format that is generally aimed at children. The interview is conducted in a conversational manner but delves into mature themes of professional athletics, criticism, and long-term career goals, making it unsuitable for children.",['English']
Ds5Ntjn3gGA,Not Child Directed,Not Child Directed,"The video contains mature themes, complex dialogue, and political commentary, making it unsuitable for children.  The inclusion of a few cartoonish elements in a political ad does not override the overall mature nature of the content.",['English']
