ID,Label,Language,Justification
-QO7KNc3uV8,TRUE,['English'],"The video is considered child-directed because it features animated characters, family-friendly themes, and songs commonly appealing to children. The content is appropriate for a young audience, with no inappropriate language or mature themes."
0PrY1FnDOB8&,TRUE,['English'],"This video is child-directed due to the presence of animated characters and themes commonly appealing to children, such as adventure and fantasy. It also presents playful conflict and action in a way that remains appropriate for children, avoiding any form of inappropriate intensity, language, or mature visuals."
16IIxFUhcZ4,TRUE,['English'],"The video is an animated movie about a group of animal criminals who are trying to be good, so it is considered child-directed."
1Ae-BS5iPY8,TRUE,['English'],The video is a cartoon with simple characters. It uses a cute and friendly tone of voice while playing and is designed specifically for a young audience.  
1pu7jF49sck,TRUE,['English'],"The video features a cartoon character navigating a series of obstacles. The visual style, the language, and the overall content make it clear that the video is designed for a young audience."
1YXmZvEdv6k,TRUE,['English'],"This video features a child protagonist and a family-friendly storyline centered around a magical chocolate factory, making it suitable for young audiences."
1_BS7UGKZEo,TRUE,['English'],"This video is considered child-directed due to its primary audience being children. It features animated characters, a simple plot, and a story commonly appealing to a young audience. "
3vDuSr2VLmw,TRUE,['English'],"The video is considered child-directed because it is an animated film with characters, themes, and humor that commonly appeal to children."
46qwfF6F_fQ,TRUE,['English'],This is a video game trailer featuring a colorful world and cartoon characters. The game's primary audience is likely children due to its lighthearted tone and simple gameplay.
50yyQOOjRtg,TRUE,['English'],"This is a trailer for the animated movie 'Trolls' and features a wide range of child-appropriate content such as cartoon characters, music, and themes of adventure and friendship.  The 'Trolls' characters are anthropomorphic creatures with bright, colorful personalities, and the trailer includes a catchy song and upbeat visuals that are appealing to children."
791CWHOkekg,TRUE,['English'],The video depicts a children's story about a boy named Charlie Bucket who is the luckiest boy in the world. It is child-directed because it is a children's story with child-appropriate content and characters.
8am_b2GXgZg,TRUE,['English'],"The video features animated dinosaurs and other animals engaging in playful activities, making it suitable for a young audience. The content is child-friendly, avoiding any inappropriate themes or language."
98Cli5sviRc,TRUE,['English'],The video features cartoon dinosaurs and animals engaging in fun activities such as building a house and playing a game. The video is child-directed as it is designed for young children and includes child-appropriate content.
A2zHXxd8GLc,TRUE,['English'],"The video is directed towards children with a storyline about a young girl turning into a baby. The video uses an animated format with family-friendly humor, making it clearly child-directed."
aVxNcRp58iQ,TRUE,['English'],The video is considered child-directed because it features cartoon characters in a playful and lighthearted setting. The games shown are clearly designed for a younger audience and the overall tone of the video is suitable for children.
aYm1rvL2aP8,TRUE,['English'],The video is considered child-directed as it tells a story with a child as the main character. It has child-friendly characters and themes and it has no inappropriate content.
B3w2__SGUYQ,TRUE,['English'],The video is made for children because it includes cartoon dinosaurs and simple stories with themes commonly appealing to children. The video also avoids mature themes and content that could be considered inappropriate for a child audience.
BTd4f2k2F8Y,TRUE,['English'],"The video is animated and features child-friendly characters such as pirates and fairies, with a theme of adventure, making it child-directed."
BV7StYWT6Qo,TRUE,['English'],"The video features animated characters and gameplay that are designed to appeal to children, making it child-directed."
bXoa4AXKASY,TRUE,['English'],"This video features animated characters, a family-friendly theme, and a playful storyline, all of which are commonly appealing to children. The visuals and audio are appropriate for children, and there is no inappropriate content."
c1x9tb4MXeg,TRUE,['English'],"The video features animated dinosaurs and an elephant interacting in a playful and child-appropriate manner. The content is designed to entertain and engage a young audience, and there is no inappropriate language, mature themes, or visuals."
CohWIxiD2E8,TRUE,['English'],"This video features cartoon characters and gameplay that is common in children's mobile games. It also uses child-friendly language, avoiding anything suggestive or inappropriate for a young audience. Therefore, it can be considered child-directed content."
cWGo1tJqJXg,TRUE,['English'],"This video is considered child-directed as it features characters and themes commonly appealing to children, such as the whimsical nature of Willy Wonka and the factory tour with its many candy creations."
DT6BgaNLnhU,TRUE,['English'],"The video features an animated girl and a turkey as the main characters, and is aimed at children through the use of bright colors, catchy songs, and simple story lines."
EapwjK5JszE,TRUE,['English'],"This video features a cartoon-like animation, child-friendly themes of adventure and problem-solving, and playful characters. It also features a bedtime story. This makes it appropriate for a young audience, leading to a child-directed label."
ELZo29FsCTA,TRUE,['English'],"The video is a commercial for Fall Guys, featuring child-friendly characters, themes, and visuals. The commercial is designed to appeal to a young audience and is therefore considered child-directed."
eMoSqI5O9kQ,TRUE,['English'],The video is a trailer for a cartoon movie featuring child-friendly characters and a story based on fairy tales. The video also includes a fun and playful tone making it appropriate for children.
F2W_EIdcsd4,TRUE,['English'],"The video features a cartoon character and is a simple mobile game, making it suitable for children."
FcqZynKuqhI,TRUE,['English'],"This is a video about Wonka's Magic Chewing Gum, and it contains elements that are generally considered appealing to a child audience. The video features a colorful and whimsical setting, fantastical elements, and child characters interacting with the product, all of which suggest that it is child-directed."
fM66POefeQA,TRUE,['English'],"The video includes a story about Willy Wonka and his chocolate factory, which is a popular children's topic. The animated factory scene is also very child-friendly and engaging, with bright colors and fun imagery."
FoOQmnoe6DU,TRUE,['English'],"The video features animated dinosaurs engaged in activities common to child-directed content such as playing, eating, and having a picnic. The content and visuals are age-appropriate for a young audience."
Gbz1Z4eoHu0,TRUE,['English'],"This video is considered child-directed because it features animated dinosaurs, child-friendly themes of helping others, and a playful tone. It's clearly aimed at young children."
gKBPKJnRlnU,TRUE,['English'],"The Super Mario Bros. Movie features cartoon characters, an adventure story and a humorous tone that is appropriate for children."
