Video Id,Primary Label,Predicted Label,Response,Languages
lvJ25GWVusg,Child Directed,Not Child Directed,"The story is a long, rambling narrative with no clear plot or characters suitable for children. The language used is complex and the themes are not child-appropriate.  There is no indication of child-directed elements such as cartoonish visuals, light-hearted themes, or simple narratives.",['Hindi']
ao_c2Ij0xbQ,Child Directed,Not Child Directed,"The video contains repetitive phrases, exclamations, and some playful elements. However, the overall tone and content are not suitable for children. The language used includes exclamations like ""Oh, my God"" and phrases like ""I'm not a bitch.""  The length and repetitive nature of certain phrases might appeal to some children, but the inclusion of potentially inappropriate language and the lack of clear child-directed themes outweigh these elements.",['English']
j3210qVOfXU,Child Directed,Child Directed,"This transcript features elements commonly found in children's media, including whimsical characters (Donkey, Shrek, Fiona), light-hearted themes (mischief, conflict resolution), and rhythmic exclamations.  The dialogue is relatively simple, and while there is some peril, it's presented in a non-threatening, cartoonish manner. The overall tone and content align with what would be considered appropriate for a child audience.",['English']
xNIb89HUcXw,Child Directed,Child Directed,"This transcript depicts a family's playful experience at a rock pool, filled with exclamations, repetitions, and childlike interactions. The language is simple, the themes are light-hearted (fear of water, playful competition), and the overall tone is whimsical.  The repeated phrases and simple sentences suggest it's aimed at a young audience. The content aligns with the criteria for child-directed content.",['English']
aVmy-wtNLe4,Child Directed,Not Child Directed,"The provided text contains violent themes (e.g., killing, threats), dark humor, and complex dialogue inappropriate for children.  The mention of ""eyeballs on fire"" and the overall morbid tone are not suitable for a child audience. Therefore, it is classified as 'Not Child Directed'.",['English']
6TZFle5RJrg,Child Directed,Child Directed,"This video is child-directed because it features a family playing a game together, uses light-hearted and playful themes, and includes elements commonly enjoyed by children such as a simple game with clear rules, and a focus on fun and interaction. The visuals are not explicitly child-like, but the overall tone and content are appropriate for a young audience.","['Hindi', 'English']"
MECLzDX8As0,Child Directed,Child Directed,"This video is child-directed because it features two young girls participating in a playful juice-tasting challenge. The video uses bright colors, simple language, and light-hearted interactions between the girls and their parents.  The challenge itself is age-appropriate, and the overall tone is fun and engaging for a young audience. The presence of a parent acting as a judge further reinforces its child-directed nature.",['Hindi']
L8-jTBPJPrs,Child Directed,Child Directed,"This video is child-directed because it features a child playing the role of class monitor, dealing with typical classroom situations and interactions with other children. The dialogue is simple, the themes are light-hearted, and the overall tone is playful, making it suitable for a young audience.  The video also includes elements like playful conflict resolution and simple interactions, which are common in children's content.",['English']
5OC7Jg2gII8,Child Directed,Not Child Directed,"The content is nonsensical and repetitive, lacking any elements typically appealing to children.  The random exclamations and long, drawn-out repetitions are not characteristic of child-directed content. There are no child-appealing visuals mentioned, and the overall tone is not light-hearted or playful, but rather confusing and disjointed.",['English']
nscQYCknQGk,Child Directed,Not Child Directed,"The text contains aggressive and repetitive phrases like ""I'm going to make you pay for this!"" and ""I'm going to get you!""  These are not suitable for children. The repeated exclamations of ""Woohoo!"" while potentially rhythmic, are within the context of a threatening and violent scenario, making the overall content inappropriate for a child audience.",['English']
YO6bsec5Fhc,Child Directed,Not Child Directed,"The text contains repetitive phrases and expressions of apology and uncertainty, lacking child-appealing elements or themes.  The content is not designed for children and does not meet the criteria for child-directed content.",['English']
MDn3HjRHxs4,Child Directed,Child Directed,"This video features a mother and daughter engaging in playful activities, such as brushing a pet and doing laundry. The language is simple, the tone is light-hearted, and the visuals are not overly stimulating.  The content is clearly designed to appeal to a younger audience, making it child-directed.",['Hindi']
A5fij5tfxjA,Child Directed,Not Child Directed,"The text contains intense themes such as conflict, anger, and threats, making it unsuitable for children.  The vocabulary and sentence structure are also beyond a typical child's comprehension level.",['English']
-_BdSce0gAk,Child Directed,Not Child Directed,"The video shows two adults playing a game involving guessing drinks. While the presentation is lighthearted, the content and language are not specifically designed for children.  The game's rules and the way it's played are not simplified for a child's understanding. The video lacks child-appealing elements such as cartoonish visuals or child-friendly themes.",['Hindi']
-1-scffDeKM,Child Directed,Child Directed,"This story has elements commonly enjoyed by children, such as a whimsical plot involving magic, a poor girl's kindness being rewarded, and a light-hearted portrayal of conflict between sisters. The narrative is simple and easy to follow, with a clear resolution.  While there is mild peril (Jane's predicament with the overflowing porridge), it's presented in a way that is not frightening or overly intense for young audiences. The story lacks mature themes, complex dialogue, or adult humor.",['English']
ugw0Crfqfls,Child Directed,Child Directed,"This video is child-directed because it features a popular children's character, Doraemon, in a toy review format. The video uses bright colors, playful music, and simple language, all of which are appealing to young children. The toys showcased are also clearly aimed at a younger audience.  The overall tone and content are light-hearted and non-violent.",['Hindi']
RVcv1KlvD50,Child Directed,Not Child Directed,"The story, while having a whimsical element with a magical pot, contains no child-appealing elements or features commonly enjoyed by children. The narrative is not simplified, and the vocabulary used is not suitable for children.  The story involves themes of hardship and resourcefulness that are not typically found in child-directed content.",['Hindi']
j3zDubIcAP8,Child Directed,Not Child Directed,"The provided text is a long dialogue between a patient and a doctor.  The themes are adult medical situations and complaints, and the language is not simplified for children. The content includes mentions of injections, operations, blood loss, and death, making it inappropriate for a child audience.",['English']
68JOgtt15Zs,Child Directed,Child Directed,"This story has child-appealing elements such as anthropomorphic characters (lion and mouse), a light-hearted portrayal of conflict resolution, and a simple narrative. The story is also told in a way that is easy for children to understand.  The presence of Hindi words does not detract from its child-directed nature, as the overall themes and storytelling remain appropriate for a young audience.","['Hindi', 'English']"
e8Ch_NyO6Q4,Child Directed,Child Directed,"This video features a young girl, Pari, dealing with a lockdown. The content uses simple language, focuses on child-friendly themes like playing with toys and celebrating Independence Day, and includes cartoonish elements with toy characters.  The overall tone and visuals are appropriate for a young audience.",['Hindi']
