,Unnamed: 0,Video Id,Primary Label,Predicted Label (Child Directed or not),Responses
0,0,kihaOwmI2dw,True,Child Directed,"The video likely meets child-directed criteria due to the presence of cartoonish and colorful dinosaur and elephant characters. The title suggests a playful and non-violent story which appeals to children, focusing on animals, which are commonly enjoyed by young audiences. Such elements are often found in content aimed at children."
1,1,RA9uWYCEkQk,True,Child Directed,"The video is child-directed as it features a 3D cartoon style, which is typically appealing to children. The characters have colorful and cartoonish appearances, suggesting content aimed at younger viewers. Additionally, the scenario depicted seems light-hearted and whimsical, aligning with child-friendly themes despite the 'robbery' theme which appears to be presented in a playful manner."
2,2,KYNKKOF6FYY,True,Child Directed,"The video thumbnail and title suggest a playful story about finding dinosaurs like T-Rex and Triceratops, which are popular among children. The imagery features colorful toy dinosaurs, which aligns with child-appealing elements such as cartoonish visuals and whimsical themes. There is no indication of mature or violent content."
3,3,qKVW_wJs91Q,False,Not Child Directed,"The video thumbnail and title suggest the content is a music video, which typically appeals to a general audience rather than being explicitly designed for children. There are no specific child-directed or child-appealing elements based on the information provided."
4,0,-QO7KNc3uV8,True,Not Child Directed,"The Addams Family franchise often includes dark humor and slightly mature themes that may not be entirely appropriate for children. The title '''Bloody' Beauty Pageant' suggests a theme or tone that may not align with child-directed content given the potentially dark or macabre play on words. Therefore, this content might not meet the criteria for being child-directed."
5,1,16IIxFUhcZ4,True,Child Directed,"The video features an animated character with colorful, cartoon-like visuals and a whimsical appearance, which are elements commonly appealing to children. The title suggests it might be from an animated film suitable for family viewing, likely with light-hearted themes and non-violent content."
6,2,1Ae-BS5iPY8,True,Child Directed,"The video thumbnail and title suggest a mobile game featuring cartoonish, animated visuals with colorful characters resembling juice bottles. The playful and non-violent presentation appeals to children. The content is likely simple and visually engaging, meeting the criteria for child-directed content."
7,3,1pu7jF49sck,True,Not Child Directed,"The thumbnail shows a foot poised to step on a cartoonish pile of feces with caution signs, which may be considered inappropriate or not suitable for children. The depiction of such content isn't generally aligned with child-friendly themes despite its cartoonish presentation. The title does not explicitly suggest educational or child-friendly themes."
8,4,1YXmZvEdv6k,True,Child Directed,"The title 'Charlie Finds the Last Ticket - Charlie and the Chocolate Factory' suggests content based on 'Charlie and the Chocolate Factory,' a story that is traditionally considered suitable for children. It involves whimsical and fantasy elements, and often portrays light-hearted adventures without mature themes, aligning with being child-directed."
9,5,1_BS7UGKZEo,True,Not Child Directed,"The video is titled 'Fisherman and His Wife in English | Stories for Teenagers' which suggests it is aimed at teenagers. While the thumbnail shows colorful and cartoonish visuals, the title specifically mentions 'Teenagers,' indicating that it is possibly designed for an older audience rather than young children. Therefore, it does not fit the child-directed criteria."
10,6,3vDuSr2VLmw,True,Child Directed,"The thumbnail shows colorful animated characters which likely appeal to children. The title suggests it is a scene from an animated movie, potentially filled with child-appealing elements such as cartoonish visuals and playful themes. This aligns with child-directed content criteria."
11,7,46qwfF6F_fQ,True,Child Directed,"The thumbnail and title of the video 'Fall Guys - What is Fall Guys?' suggest that it features the game 'Fall Guys,' which is known for its colorful, cartoonish, and playful visuals. The game involves light-hearted and whimsical gameplay, making it appealing to children. The lack of mature themes and the presence of family-friendly graphics indicate it is child-directed."
12,8,50yyQOOjRtg,True,Child Directed,"The thumbnail features a vibrant, colorful animated character that is likely appealing to children. The title 'TROLLS All Trailers' suggests it is related to the 'Trolls' movie series, known for being family-friendly with child-appealing animations, songs, and themes. Such content is typically designed to be appropriate for children and aligns with child-directed elements like cartoonish visuals and playful themes."
13,9,791CWHOkekg,True,Child Directed,"The video title 'Charlie and the Chocolate Factory Opening Credits' suggests that it is related to the family-friendly book and movie 'Charlie and the Chocolate Factory,' which is known to have whimsical and playful themes suitable for children. The content is likely designed for family viewing, appealing to children with its imaginative story and child-friendly elements."
14,10,8am_b2GXgZg,True,Child Directed,"The thumbnail features cartoonish dinosaurs and elephants on a playground slide, which are colorful and playful elements appealing to children. The title also suggests a comedic adventure with dinosaurs, fitting the criteria for child-appealing elements and family-friendly content. The combination of vibrant visuals and simple thematic elements indicate it is suitable for children."
15,11,98Cli5sviRc,True,Child Directed,"The video title and thumbnail suggest a playful, fantasy-themed storyline involving dinosaurs, which are cartoonishly designed, meeting the criteria for child-appealing elements such as colorful, animated visuals and whimsical themes. These elements are typically engaging for children."
16,12,A2zHXxd8GLc,True,Child Directed,"The video title and thumbnail suggest content that is child-directed due to the presence of cartoonish visuals, animated characters, and a whimsical, playful theme involving magic and transformation. The scenario of a fun, imaginative story with babies and a unicorn aligns with elements commonly appealing to children."
17,13,aVxNcRp58iQ,True,Child Directed,"The thumbnail of the video 'Fall Guys Satellite Scramble Gameplay Trailer' features colorful, cartoonish, and animated visuals with fantasy elements. Given the game's well-known family-friendly gameplay and simple, non-violent content, it meets the criteria for being child-directed."
18,14,aYm1rvL2aP8,True,Child Directed,"The thumbnail features colorful and cartoonish visuals, which are elements commonly enjoyed by children. The title 'The Lazy Girl' along with the reference to 'English Fairy Tales' suggests it is a fairy tale story, typically aimed at younger audiences. Such content often involves whimsical themes suitable for children."
19,15,B3w2__SGUYQ,True,Child Directed,"The video appears to be child-directed due to the presence of cartoonish and colorful animated dinosaurs, which are appealing to children. Additionally, the title suggests a light-hearted and playful theme involving 'baby dinosaurs' and a rescue scenario, aligning with non-violent, whimsical narratives suitable for children."
20,16,BTd4f2k2F8Y,True,Child Directed,"The video title and thumbnail suggest a whimsical, animated theme with cartoonish characters like pirates and fairies. The visuals show vibrant, colorful designs which are typically appealing to children. Additionally, the 'Floor is Lava' concept is a popular children's game, indicating the content is intended for a young audience."
21,17,BV7StYWT6Qo,True,Child Directed,"The thumbnail and title ""Fall Guys Satellite Scramble Season Pass Trailer"" suggest content that is cartoonish, whimsical, and playful, which aligns with child-appealing elements. Fall Guys is known for colorful, non-violent gameplay, appealing to children and suitable for family viewing."
