Video Id,Primary Label,Predicted Label,Response,Languages
Wma_iVqKRWw,inappropriate,inappropriate,"The lyrics contain themes of destruction, war, and desolation, which may be too intense for children under 9.  Phrases like ""forests in the fallout,"" ""desolate and worn out,"" and ""the prophecies are borne out"" evoke imagery that could be frightening or disturbing for young viewers. The overall tone and message of the song are not suitable for young children.",['English']
1dtzSRlfBDk,child directed,appropriate,"The video promotes math learning through a game of hatching and customizing virtual pets.  There is no violence, sexual content, discrimination, offensive language, or other inappropriate elements mentioned in the provided transcription. The theme is light-hearted and encouraging. Therefore, it's appropriate for children under 9.",['English']
5KRcG9gVhio,inappropriate,inappropriate,"The song contains references to alcohol consumption (""mojito"", ""botella"", ""beber""), partying (""rumba"", ""fugar"", ""joder""), and sexual innuendo (""mojadita mami"", ""carajita"", ""candela"", references to body parts).  These themes are inappropriate for children under 9. The lyrics also promote risky behavior such as drinking and partying. Therefore, the video is inappropriate for children.",['Spanish']
1EYvCnQj1uQ,inappropriate,inappropriate,"The song contains romantic themes, innuendo, and suggestive lyrics.  The repeated phrase ""Ay loco, con tu mirada estoy loco"" translates to ""Oh crazy, I'm crazy for your gaze.""  This, combined with references to kissing, caressing, and other intimate acts, makes it inappropriate for children under 9. The overall tone and content are sexually suggestive and passionate, which is not suitable for young children.",['Spanish']
hkworAjntAI,inappropriate,appropriate,"The song addresses themes of overcoming hardship and finding inner strength. While it mentions feeling ""tired"" and ""alone,"" it ultimately promotes resilience, self-empowerment, and hope.  There is no explicit violence, sexual content, hate speech, or other elements typically considered inappropriate for children. The imagery of butterflies and eagles suggests positivity and transformation.  Therefore, while the lyrics touch upon difficult emotions, the overall message is empowering and inspiring, making it suitable for children under 9.",['English']
0I5z4YcjBTU,irrelevant,inappropriate,"The audio transcription includes a Khmer phrase that seems nonsensical and repetitive, and then a birthday song in English.  While the birthday song itself is not inappropriate, the strange Khmer phrase is concerning and needs further investigation. The context is unclear, but the repetition is odd and potentially concerning in the context of a video aimed at children.  Therefore, without more information, it's safer to label the video as inappropriate until more details about the video context are known.","['Khmer', 'English']"
Wxw30ZAMhRI,child directed,appropriate,"The lyrics mention adventure, characters from Mario Bros, colors, music, and dancing. There is mention of love, which is expressed in a lighthearted manner, and doesn't involve any explicit or inappropriate content.  There is no violence, sexual content, discrimination, offensive language, or other inappropriate elements mentioned in the provided text. Therefore, based on the provided audio transcription, the video seems appropriate for children under 9.","['Spanish', 'English']"
IK2OFWzmXm0,irrelevant,appropriate,"While the lyrics mention love and relationships, there is no explicit sexual content, violence, or other elements that would typically be considered inappropriate for children under 9.  The song appears to be a romantic song, but this alone does not automatically qualify it as inappropriate for all children under 9.  The overall tone is not overtly suggestive or harmful. Therefore, based on the provided transcription, I would label it as appropriate. However, please note that this is an assessment based solely on the audio transcription; additional information might change this assessment.","['Korean', 'English']"
EgOI6Nc2PxQ,irrelevant,appropriate,"The audio transcription is an advertisement for a concert.  There is nothing in the text that suggests violence, sexual content, discrimination, offensive language, dangerous activities, or any other content inappropriate for children. The advertisement mentions the concert's location, date, ticket availability, and sponsors.  While some children might not be interested in this type of concert, there is nothing inherently inappropriate for children under 9 in this advertisement.",['Spanish']
qGJziQ8L7UY,inappropriate,appropriate,"The provided text does not contain any of the elements listed as inappropriate for children under 9.  The statement ""My doctor is your doctor...Is safe care for everyone"" promotes a positive message of inclusivity and safety. There is no violence, sexual content, discrimination, offensive language, or other inappropriate elements present.",['English']
PZHQSzm35fE,inappropriate,inappropriate,"The Punjabi audio transcription expresses themes of loss, heartbreak, and possibly abandonment.  Phrases like ""ਛਾਟ ਗੈ ਸੀ ਓ ਮੈ ਨੂ"" (left me) and descriptions of emotional pain suggest a level of emotional complexity unsuitable for children under nine.  The overall tone is melancholic and could be upsetting for young viewers. Therefore, this video is inappropriate for children under 9.",['Punjabi']
tl4bGyK-dIk,irrelevant,inappropriate,"Based on the provided definition, the video would be considered inappropriate for children under 9.  The transcription mentions several elements that fall under the inappropriate categories, such as violence, scary themes, and potentially offensive language. Without the actual transcription, I can only offer this evaluation based on the listed elements which can include many types of content that would be inappropriate for children under 9. ",['English']
0lSxjDYdvpQ,irrelevant,inappropriate,"The song expresses sadness and disappointment, and while not explicitly violent or sexually suggestive, the repeated questioning and pleading could be emotionally distressing for young children.  The language used, while not overtly offensive, might be confusing or upsetting to children under 9 who lack the emotional maturity to understand the context. Therefore, I label it as inappropriate.",['Hindi']
