,Video Id,Primary Label,Predicted Label,Response,Languages
0,v81vT7EID3Q,child directed,appropriate,"The video is an advertisement for NanGrow HMO milk formula for children aged 1-3 years and 3-5 years.  It shows a baby's hand playing with soil, and then shows the product packaging. The advertisement is not inappropriate for children. The audio includes a voiceover in Sinhala, which is the language of Sri Lanka.",['Sinhala']
1,rSickeJuceE,irrelevant,appropriate,"The video is an advertisement for Renault E-Tech full hybrid technology. It shows the car's features and highlights its fuel efficiency. There is no inappropriate content such as violence, sexual content, or harmful activities. The music is upbeat and the visuals are appealing, but not in a way that would be considered inappropriate for children. Therefore, the video is appropriate for young children.",['French']
2,DwNatxJHBGo,irrelevant,appropriate,The video is an advertisement for Sensodyne toothpaste.  It shows the product packaging and mentions where it can be purchased. There is no inappropriate content present.,['Sinhala']
3,cJR25ndPunQ,irrelevant,appropriate,"The video is an advertisement for Kry, a healthcare provider.  It features a woman speaking directly to the camera, encouraging viewers to make an appointment. The background is a clean, modern office setting. There is no inappropriate content present. The language spoken is Swedish.",['Swedish']
4,iviCwMZYxZE,irrelevant,appropriate,The video shows a person sitting on a bench and using a smartphone.  There is text on the screen advertising an app. There is no inappropriate content.,['Swedish']
5,7vxYn55D51o,irrelevant,inappropriate,"The video shows a man with a bandage on his head, wearing a medical gown.  The background is filled with pills that have the words ""Fejk patient"" (Fake patient) written on them. While there is no explicit violence or sexual content, the overall theme is unsettling and potentially confusing for young children. The use of medical imagery and the repeated phrase ""Fake patient"" could be interpreted as disturbing or misleading. Therefore, it's inappropriate for young children.",['Swedish']
6,Lk6Lgm02x20,irrelevant,appropriate,"The video is an advertisement for Momondo, a flight search engine.  It shows idyllic beach scenes and displays flight prices. There is no inappropriate content present. The audio is a voiceover in Swedish explaining how to use the app to find cheaper flights.",['Swedish']
7,QowjhxuLU4k,irrelevant,appropriate,"The video shows a McDonald's bag left on a table. Two people walk by in the background.  A voiceover says, ""Don't forget to take your trash with you."" The McDonald's and Keep Sweden Tidy logos appear at the end. There is no inappropriate content.",['Swedish']
8,ZUNB8lBBzJ8,irrelevant,appropriate,"The video is an advertisement for Extra White Strawberry chewing gum.  It features two young women in a car, and there is no inappropriate content. The song is upbeat and there is no violence, sexual content, or other inappropriate elements. Therefore, the video is appropriate for young children.",['English']
9,cSt2zaL8q6Q,irrelevant,appropriate,"The video is an advertisement for Lakerol Yup candies. It features colorful animation, hearts, and the product packaging. The audio includes upbeat music and a voiceover in Swedish that says ""Say YUP to life, Say YUP to love.""  There is no inappropriate content such as violence, sexual content, or discrimination. The overall tone is positive and lighthearted, making it suitable for young children.",['Swedish']
10,5nqQJh7s0o0,irrelevant,appropriate,The video shows people making and sharing snacks. There is no inappropriate content.,['English']
11,WKXktlYwHnI,irrelevant,appropriate,"The video is an advertisement for Adidas Originals. It shows young people dancing and having fun at a club. There is no violence, sexual content, or other inappropriate material. The music is upbeat and the overall tone of the video is positive. Therefore, the video is appropriate for young children.",['English']
12,6De_zfZRjCg,irrelevant,appropriate,"The video is an advertisement for Purdue Global, an online university for working adults.  The video features a woman speaking directly to the camera, and the audio is clear and professional. There is no inappropriate content present. The language used is English.",['English']
13,Hk7sEfmtUVs,irrelevant,appropriate,The video is an advertisement for Ferrero Rondnoir ice cream. It shows the ice cream being made and people enjoying it. There is no inappropriate content.,['French']
