,Unnamed: 0,Video Id,Primary Label,Predicted Label (Child Directed or not),Response
0,0,-QO7KNc3uV8,True,Not Child Directed,"The title ""THE ADDAMS FAMILY 2 Clip - ""Bloody"" Beauty Pageant (2021)"" suggests the presence of potentially violent or dark humor, which is not suitable for children.  The word ""Bloody"" in the title is a strong indicator of content inappropriate for a child audience."
1,1,16IIxFUhcZ4,True,Child Directed,"The title ""THE BAD GUYS"" suggests an animated movie, and the thumbnail shows cartoonish characters, which are common elements in children's animation.  The presence of a family-friendly movie title and cartoonish visuals strongly suggests that the content is child-directed."
2,2,1Ae-BS5iPY8,True,Child Directed,"The video thumbnail shows cartoonish visuals of juice bottles with faces, suggesting a light-hearted and playful theme suitable for children. The title mentions gameplay on Android and iOS, indicating a game, and the overall style aligns with child-friendly games.  Therefore, it meets the criteria for child-directed content."
3,3,1pu7jF49sck,True,Not Child Directed,"The thumbnail contains cartoonish elements, but the presence of a poop emoji and the title mentioning ""Tippy Toe"" and ""3D Game Walkthrough"" suggest that the content is not primarily intended for children.  The gameplay appears to involve navigating obstacles, which might not be suitable for very young children. Therefore, it does not meet the criteria for child-directed content."
4,4,1YXmZvEdv6k,True,Child Directed,"The title, ""Charlie Finds the Last Ticket - Charlie and the Chocolate Factory,"" clearly indicates a scene from a family-friendly movie.  The thumbnail shows a golden ticket, a key element from the children's story.  The movie itself is rated PG, and the scene depicted is likely to contain child-appealing elements such as whimsical themes and light-hearted conflict."
5,5,1_BS7UGKZEo,True,Child Directed,"The title indicates a fairy tale, a genre often associated with children's stories.  The thumbnail shows cartoonish animation and characters, which are common elements in children's content. The phrase ""Stories for Teenagers"" in the title is misleading, as the visual elements strongly suggest a child-directed video."
6,6,3vDuSr2VLmw,True,Child Directed,"The thumbnail shows cartoonish characters in a car, suggesting a light-hearted and animated style typical of children's movies.  The title, ""THE BAD GUYS - First 6 Minutes Opening Scene (2022)"", indicates an animated movie, and the year suggests a recent release, which often implies a family-friendly nature.  These elements strongly suggest the video is child-directed."
7,7,46qwfF6F_fQ,True,Child Directed,"The thumbnail displays cartoonish characters in a vibrant, colorful setting. The title ""Fall Guys - What is Fall Guys?"" suggests an introductory video, likely with simple explanations suitable for children.  The game itself is known for its light-hearted, non-violent gameplay, further supporting the child-directed classification."
8,8,50yyQOOjRtg,True,Child Directed,"The title ""TROLLS All Trailers"" and the thumbnail showing a cartoon character suggest that the video is an animated movie trailer, likely suitable for children.  The bright colors and cartoonish style further support this assessment."
9,9,791CWHOkekg,True,Child Directed,"The title ""Charlie and the Chocolate Factory Opening Credits"" and the thumbnail showing a chocolate bar with a golden ticket suggest that the video is from the movie ""Charlie and the Chocolate Factory."" This movie is widely considered a children's classic, featuring whimsical characters, colorful visuals, and a light-hearted storyline.  Therefore, the video is likely child-directed."
10,10,8am_b2GXgZg,True,Child Directed,"The title and thumbnail clearly indicate that the video is an animation featuring dinosaurs and elephants in a playful setting.  The words ""Funny Dinosaurs 3D Cartoons Comedy"" further suggest a lighthearted and entertaining style suitable for children. The use of cartoonish characters and a simple plot involving a slide strongly suggests that the content is child-directed."
11,11,98Cli5sviRc,True,Child Directed,"The video title and thumbnail clearly indicate that the content is designed for children. The title mentions ""Dinosaurs,"" ""Fun Videos 3D,"" and uses simple language. The thumbnail shows colorful, cartoonish dinosaurs in a playful setting. These elements strongly suggest that the video is child-directed."
12,12,aVxNcRp58iQ,True,Child Directed,"The video thumbnail shows cartoonish characters in a whimsical setting. The title mentions gameplay, suggesting a game designed for children.  These elements align with the criteria for child-directed content."
13,13,aYm1rvL2aP8,True,Child Directed,"The title, ""The Lazy Girl"", suggests a simple story likely suitable for children.  The thumbnail shows cartoonish characters and a whimsical setting, further indicating that the video is child-directed."
14,14,B3w2__SGUYQ,True,Child Directed,"The video title ""Baby Dinosaurs Rescue from Spinosaurus in the River | Funny Dinosaur Videos 3D Animated Videos"" and the thumbnail clearly indicate that the content is designed for children.  The presence of baby dinosaurs, cartoonish visuals, and a light-hearted theme of rescue aligns with child-appealing elements. The title also mentions ""Funny Dinosaur Videos"" and ""3D Animated Videos,"" further supporting its child-directed nature."
15,15,BTd4f2k2F8Y,True,Child Directed,"The title and thumbnail clearly indicate a child-directed video. The title mentions a rescue mission, fairy eggs, and a pirate island, all elements appealing to children.  The thumbnail shows cartoonish characters and bright colors, further supporting the child-directed nature of the content."
16,16,BV7StYWT6Qo,True,Child Directed,"The thumbnail displays cartoonish characters in a whimsical setting. The title mentions a ""season pass,"" suggesting a game, and the visuals align with child-friendly game aesthetics.  Therefore, it's likely child-directed."
17,17,0PrY1FnDOB8,True,Child Directed,"The video title and thumbnail suggest a child-directed video. The title mentions a ""fairy creative cave"" and ""cartoon,"" indicating child-appealing elements.  The thumbnail shows cartoonish characters and bright colors, further supporting this classification."
18,18,bXoa4AXKASY,True,Child Directed,"The video title and thumbnail suggest a child-directed cartoon with child-like characters (dogs and a girl), playful themes (magic pets, floor is lava), and a family-friendly setting.  The title also uses exclamations, which is a rhythmic element appealing to young viewers. These elements strongly suggest that the content is designed for children."
19,19,c1x9tb4MXeg,True,Child Directed,"The video title, ""Long Neck Dinosaur Help Baby Dinosaur Adventure Tyrannosaurus Eggs - Funny Dinosaur Family"", and the thumbnail clearly indicate a child-directed video.  The title mentions ""baby dinosaurs"" and ""funny dinosaur family,"" suggesting a lighthearted and playful theme. The thumbnail shows colorful cartoonish dinosaurs and eggs, which are visually appealing to children. These elements strongly suggest that the video is designed for a young audience."
20,20,CohWIxiD2E8,True,Not Child Directed,"The thumbnail shows cartoonish graphics, but the gameplay involves stepping on items such as poop and eggs, which is not suitable for children.  The title mentions ""walkthrough"" and ""gameplay,"" suggesting a focus on game mechanics rather than a child-friendly narrative."
21,21,cWGo1tJqJXg,True,Not Child Directed,"The thumbnail shows a child wearing a head brace, which is not a typical child-appealing element.  The title, ""Wonka's Origins - Charlie and the Chocolate Factory,"" while referencing a children's story, suggests a potentially darker or more complex adaptation not suitable for young children. Therefore, it is unlikely to meet the criteria for child-directed content."
22,22,DT6BgaNLnhU,True,Child Directed,"The video title, ""TURKEY DANCE the SONG!! Family Cartoons music video with Adley and Dr Dad! Turkey Feet doctor visit,"" and the thumbnail clearly indicate that it is a cartoon video with child-appealing elements. The presence of cartoon characters, a catchy song title, and a light-hearted theme of a turkey's doctor visit all point towards a child-directed audience.  The mention of ""Family Cartoons"" further reinforces this."
23,23,EapwjK5JszE,True,Child Directed,"The video title, ""BEDTiME STORiES with Rita & Betty!! new Cooking Show cartoon! night time routine with Adley and Dad,"" indicates a child-friendly theme.  The presence of cartoon characters and the mention of a bedtime story strongly suggest that the content is designed for children. The words ""Cooking Show cartoon"" further reinforce the child-directed nature of the video."
24,24,ELZo29FsCTA,True,Child Directed,"The thumbnail shows cartoonish characters in a playful setting. The title suggests a light-hearted game, which aligns with child-directed content criteria."
25,25,eMoSqI5O9kQ,True,Child Directed,"The thumbnail shows an animated girl holding a piece of cake.  The title ""Red Shoes and the Seven Dwarfs"" suggests a fairytale theme. These elements strongly indicate that the video is child-directed."
26,26,F2W_EIdcsd4,True,Child Directed,"The video's thumbnail features cartoonish visuals and gameplay that is non-violent and simple.  The title mentions ""Gameplay"" and ""New Levels,"" suggesting a game walkthrough suitable for children. These elements align with the criteria for child-directed content."
27,27,FcqZynKuqhI,True,Not Child Directed,"The thumbnail shows a girl's face appearing to be morphing into a blueberry.  The title ""Violet Turns Violet"" suggests a transformation, but the visual is not child-friendly.  The image lacks the cartoonish or light-hearted elements typically associated with child-directed content.  Therefore, it is not considered child-directed."
28,28,fM66POefeQA,True,Child Directed,"The title ""Wonka's First Shop - Charlie and the Chocolate Factory"" clearly indicates a scene from a family-friendly movie.  The movie itself is known for its whimsical and colorful visuals, appealing to children.  Therefore, based on the title and the association with a child-appropriate film, the video is likely child-directed."
29,29,FoOQmnoe6DU,True,Child Directed,"The video title and thumbnail suggest a child-directed video. The title mentions ""Funny Videos"" and ""Long Leg Dinosaurs,"" which are child-appealing elements.  The thumbnail shows colorful, cartoonish dinosaurs and a dragon, further supporting the child-directed nature of the content."
30,30,Gbz1Z4eoHu0,True,Child Directed,"The video title, ""Dinosaur Volcano Adventure With Tyrannosaurus Mosasaurus | Funny Dinosaurs 3D Cartoons Comedy Videos,"" and the thumbnail clearly indicate that the content is designed for children.  The presence of cartoonish dinosaurs, a whimsical theme (volcano adventure), and the description ""Funny Dinosaurs 3D Cartoons"" all point towards a child-directed audience. The use of 3D animation further enhances its appeal to children."
31,31,gKBPKJnRlnU,True,Child Directed,"The thumbnail shows the main characters from the Super Mario Bros. movie, which is an animated movie with cartoonish visuals and family-friendly themes.  The title also indicates that the video contains clips and trailers from the movie, which is rated PG. These elements strongly suggest that the video is child-directed."
32,32,GxcGVCEEdcU,True,Child Directed,"The title, ""The Lion and the Mouse"", suggests a classic fairy tale, often adapted for children.  The thumbnail shows cartoonish animation of a lion and a mouse, which are common child-appealing elements.  The use of the word ""English"" in the title implies it's an English-language version of a story likely told to children. These factors strongly suggest the video is child-directed."
33,33,H9GOCS1vfDc,True,Child Directed,"The thumbnail displays cartoonish characters in a vibrant, colorful setting. The title suggests a light-hearted and playful theme suitable for children.  These elements align with the criteria for child-directed content."
34,34,harPlrV-7-I,True,Child Directed,"The title ""Princess Anastasia Story"" and the presence of cartoonish characters in the thumbnail suggest that the video is likely a children's story.  The inclusion of ""Stories for Teenagers"" in the title is ambiguous, but the overall impression from the thumbnail and primary title points towards a child-directed video."
35,35,Hh2Fk4ekBiY,True,Child Directed,"The thumbnail shows an animated spider character with cartoonish features. The title mentions a 2022 movie, suggesting it's a recent animated film likely suitable for family viewing.  These elements strongly suggest the video is child-directed."
36,36,HHruVzAwGfk,True,Child Directed,"The title, ""Goldilocks and the Three Bears"", indicates a classic fairy tale typically aimed at children.  The thumbnail shows cartoonish bear characters and a child-like girl, further suggesting a child-directed animation style. While the channel name mentions ""Stories for Teenagers"", the specific video's content and presentation strongly suggest it's designed for a younger audience."
37,37,Hkmj9BO-VOk,True,Child Directed,"The video title, ""Funny Dinosaur Crocodile Swimming Race"", and the thumbnail clearly suggest child-appealing elements.  Cartoonish characters (dinosaurs and crocodiles), a playful theme (a swimming race), and bright colors all point towards a target audience of children. The mention of ""3D Comedy Videos"" further reinforces the light-hearted and entertaining nature of the content, suitable for kids."
38,38,hscsM7yVZ6c,True,Child Directed,"The video title and thumbnail clearly indicate that the content is designed for children. The title mentions ""family cartoon"" and ""pet check up,"" suggesting a light-hearted and child-friendly theme. The thumbnail shows cartoonish characters, bright colors, and a playful scene, all of which are common elements in child-directed content.  The presence of a doctor/vet theme and cute animals further reinforces its appeal to a younger audience."
39,39,HvsGKwzTIWY,True,Child Directed,"The thumbnail shows two animated girls with cartoonish features. The title mentions a trailer for a movie, suggesting a family-friendly film.  These elements strongly suggest that the video is child-directed."
40,40,it3Td-JNc8o,True,Child Directed,"The title ""THE SUPER MARIO BROS. MOVIE"" and the thumbnail clearly indicate a movie aimed at children.  The characters are cartoonish, and the overall aesthetic suggests a light-hearted and family-friendly film.  The presence of Mario and Peach, iconic children's characters, further supports this classification."
41,41,J29j9gUxSpA,True,Child Directed,"The thumbnail shows a cartoon pug in a lighthearted scene.  The title ""The Secret Life of Pets Trailer"" suggests an animated movie suitable for family viewing, which is a common characteristic of child-directed content."
42,42,_xkF0plKTD8,True,Child Directed,"The video's thumbnail displays cartoonish visuals, including duck slippers, a monkey, and simplistic 3D graphics.  The title mentions gameplay on Android and iOS, suggesting a mobile game. These elements align with the criteria for child-appealing content, making it likely child-directed."
43,43,JzhGHL6Mdhs,True,Not Child Directed,"The thumbnail contains cartoonish elements, but the gameplay involves navigating obstacles such as bombs and poop, which are not suitable for children.  The title mentions an APK game, suggesting it may not be from a reputable source suitable for children. Therefore, it does not meet the criteria for child-directed content."
44,44,KbEzQbHZZS8,True,Child Directed,"The video is a trailer for Fall Guys, a game with cartoonish characters and non-violent gameplay.  The title mentions Disney's Encanto, a movie known for its family-friendly content.  The thumbnail shows colorful, whimsical characters. These elements strongly suggest the video is child-directed."
45,45,kihaOwmI2dw,True,Child Directed,"The video title, ""Giant Dinosaur Save Elephant and Baby Dinosaurs from Mud | Dinosaurs Funny Videos 2022"", and the thumbnail suggest a child-directed video. The title indicates a playful and adventurous storyline suitable for children.  The thumbnail shows cartoonish dinosaurs and elephants, which are common child-appealing elements. The overall theme appears light-hearted and non-violent, further supporting its classification as child-directed."
46,46,kOtsC7Iao8w,True,Child Directed,"The title ""PiRATE iSLAND the CARTOON!! it’s a Battle for Beach Treasure! with Pirate Dad vs Fairy Adley in 3D"" indicates a cartoonish style and playful theme.  The mention of a ""Pirate Dad"" and ""Fairy Adley"" suggests child-friendly characters. The phrase ""Battle for Beach Treasure"" implies a light-hearted conflict suitable for children. The use of the word ""cartoon"" further reinforces its child-directed nature."
47,47,LfPK1IC9h3Q,True,Child Directed,"The title ""ENCANTO All Songs, Clips & Trailers"" and the thumbnail suggest that the video contains content from the movie Encanto, which is an animated movie suitable for family viewing and contains child-appealing elements such as colorful visuals, whimsical themes, and light-hearted portrayals of themes.  Therefore, it meets the criteria for child-directed content."
48,48,lHSumsnr9ZE,True,Child Directed,"The thumbnail shows cartoonish characters in a whimsical setting. The title suggests a light-hearted adventure, which aligns with child-appealing elements.  The game itself is known for its non-violent and playful nature."
49,49,LXtPnXbMtuQ,True,Child Directed,"The video's title, ""One Eye Two Eyes And Three Eyes Story,"" suggests a fairy tale or children's story.  The thumbnail shows cartoonish characters and a whimsical setting, which are common elements in children's animation.  The mention of ""Stories for Teenagers"" in the title is misleading, as the visual elements strongly suggest a child-directed content."
50,50,lzmzZaB0kss,True,Child Directed,"The title ""Augustus Gloop Song"" suggests a song from the children's movie ""Willy Wonka and the Chocolate Factory.""  The image shows three identical cartoonish characters singing, which is a common element in children's entertainment. These elements strongly suggest that the video is child-directed."
51,51,MehMlxlLtaU,True,Child Directed,"The thumbnail shows a cartoon character with child-appealing features such as bright colors and a playful expression.  The title ""UglyDolls ""Lou"" Clip"" suggests an animated movie clip, which is often suitable for family viewing and therefore likely child-directed."
52,52,Mj86wPhhj9M,True,Child Directed,"The video features cartoonish characters, whimsical themes, and light-hearted gameplay, all of which are common elements that appeal to children.  The title also suggests a family-friendly experience. Therefore, it meets the criteria for child-directed content."
53,53,mKjOmB9grX0,True,Not Child Directed,"The video's title mentions gameplay and an APK update, suggesting it's a mobile game. While the thumbnail shows cartoonish graphics, the overall context doesn't strongly indicate it's designed for children.  The title lacks child-specific keywords, and the gameplay, even if cartoonish, might involve challenges or competition not suitable for very young children."
54,54,MMF-1d5af8U,True,Child Directed,"The video thumbnail shows a group of Disney princesses in a cartoonish style, which is visually appealing to children.  The title mentions ""Disney Princesses"", further suggesting a child-oriented theme.  These elements strongly indicate that the video is child-directed."
55,55,NA75jaXcROY,True,Child Directed,"The video title and thumbnail suggest a child-directed cartoon. The title mentions a doctor's visit, stickers, and a cartoon character named Adley, all of which are child-appealing elements.  The use of the word ""cartoon"" further reinforces this. The 3D animation style also points towards a style commonly used in children's entertainment."
56,56,nbRhQeOGU-M,True,Child Directed,"The title and thumbnail suggest a Halloween-themed video with cartoonish characters (spider, children in costumes), implying a light-hearted and playful narrative suitable for children.  The mention of ""trick or treat"" further reinforces its child-directed nature."
57,57,nkwRyfE67EI,True,Child Directed,"The title ""Up and Out - Charlie and the Chocolate Factory"" and the thumbnail clearly indicate a scene from the movie ""Charlie and the Chocolate Factory.""  This movie is generally considered family-friendly and contains child-appealing elements such as whimsical characters and settings. While there might be some mild peril, it's presented in a way suitable for children. Therefore, it meets the criteria for child-directed content."
58,58,nnJbCsVQ0oM,True,Child Directed,"The video title and thumbnail clearly indicate that the content is child-directed. The title mentions ""Funny Dinosaurs Videos 3D Animated Cartoons Compilation,"" and the thumbnail shows cartoonish animals (dinosaurs, an elephant, and a shark) in a playful setting. These elements strongly suggest that the video is designed for children and features child-appealing elements."
59,59,NUyT3uhbS0g,True,Child Directed,"The video title, ""Sweet Porridge Story"", and the thumbnail suggest a fairy tale or children's story.  The cartoonish animation style further supports this classification. While the channel name mentions ""Teenagers"", the content itself appears geared towards a younger audience."
60,60,oAh_1O5qG-A,True,Child Directed,"The video's thumbnail shows colorful, cartoonish visuals of pink balls with numbers on them, rolling down a track.  The title mentions a ""game"" and ""new event,"" suggesting a light-hearted and playful theme suitable for children. The overall style and content align with characteristics commonly found in child-directed games."
61,61,oApjtkaMfAI,True,Child Directed,"The video title and thumbnail clearly indicate that the content is designed for children. The title mentions ""baby dinosaurs"" and ""funny 3D animated videos,"" and the thumbnail shows cartoonish dinosaurs in a colorful, whimsical setting. These elements strongly suggest that the video is child-directed."
62,62,Od22SbgWsnw,True,Child Directed,"The video's thumbnail displays cartoonish, colorful graphics and simple gameplay, suggesting it is child-directed. The title mentions a ""Ball 2048 Game,"" which is a simple game that is likely suitable for children.  These elements align with the criteria for child-directed content."
63,63,OMFQtY6655E,True,Child Directed,"The title ""Chocolate Room - Charlie and the Chocolate Factory"" and the thumbnail clearly indicate a scene from a family-friendly movie.  The movie itself is known for its whimsical and colorful visuals, appealing to children.  Therefore, the video clip is likely child-directed."
64,64,QhS3JwncB9E,True,Child Directed,"The title ""The Secret Life of Pets"" and the thumbnail suggest an animated movie with animal characters, which are common child-appealing elements.  The overall tone and style point towards a family-friendly movie, making it likely child-directed."
65,65,QlUNfFcBttU,True,Child Directed,"The video is an animated movie clip from Encanto, a film known for its family-friendly content, colorful animation, and child-appealing characters.  The title explicitly mentions a character from the movie, further suggesting it's a clip aimed at children and fans of the film."
66,66,RaDRlUB1uu8,True,Child Directed,"The Super Mario Bros. Movie is an animated film featuring the popular children's characters Mario and Luigi. The trailer shows cartoonish visuals and light-hearted themes, making it suitable for a child audience."
67,67,r_2S3gxP9pQ,True,Child Directed,"The video title and thumbnail suggest a child-directed video. The title mentions a family haircut and spa makeover, implying a light-hearted and playful theme.  The thumbnail shows cartoonish characters and a whimsical setting, further supporting the child-directed nature of the content."
68,68,s8uYE9r3hIg,True,Child Directed,"The video is labeled as child-directed because it features cartoonish characters, whimsical themes, and non-violent gameplay.  The bright colors and playful nature of the game are also appealing to children."
69,69,SJjZXrUWKGo,True,Child Directed,"The thumbnail shows cartoon characters in a light-hearted scene.  The title mentions it's from a 2022 movie, suggesting it's likely a family-friendly film. These elements strongly suggest that the video is child-directed."
70,70,sU_6exHGHOU,True,Not Child Directed,"The thumbnail contains cartoonish elements, but the gameplay involves navigating obstacles that include feces, which is not appropriate for children.  The title does not suggest a child-directed audience."
71,71,TCaUoYC_qXI,True,Child Directed,The thumbnail shows cartoonish characters and the title suggests a family-friendly movie.  These elements align with the criteria for child-directed content.
72,72,thLeaqq3apc,True,Child Directed,"The video's thumbnail displays cartoonish graphics, and the title suggests a simple, family-friendly game.  The gameplay appears non-violent and light-hearted, making it suitable for children."
73,73,Tu_3z8Ul7OQ,True,Child Directed,"The title ""Candy Boat Ride - Charlie and the Chocolate Factory"" and the thumbnail clearly indicate a scene from a children's movie.  The whimsical imagery of a candy boat ride aligns with child-appealing elements. The source material, ""Charlie and the Chocolate Factory,"" is widely known as a family-friendly film."
74,74,UcSQdQn21JI,True,Child Directed,"The title ""SCOOB! - 4 Minutes Trailers Compilation (2020)"" indicates a children's movie.  The thumbnail shows cartoonish characters, Scooby Doo and Shaggy, in a lighthearted scene. These elements strongly suggest that the video is child-directed."
75,75,uiHakl7zSrU,True,Child Directed,"The video title, ""Elephant and Dinosaur Build Wooden Train Surprise Eggs with Duck in Forest | Dinosaur 🦕 3D Videos,"" and the thumbnail clearly indicate that the content is designed for children.  The presence of cartoonish animals (elephant, dinosaurs, duck), bright colors, a toy train, and surprise eggs are all strong indicators of child-directed content. The title also suggests a playful and whimsical theme, further supporting this classification."
76,76,vHZkHJA16NI,True,Child Directed,"The title ""Prince Pondicherry's Chocolate Palace - Charlie and the Chocolate Factory"" suggests a whimsical and playful theme related to the popular children's story.  The thumbnail shows a character with exaggerated features and a surprised expression, which is consistent with cartoonish visuals often found in children's media.  These elements strongly suggest that the video is child-directed."
