,Video Id,Primary Label,Predicted Label,Response,Languages,Unnamed: 0
0,8lKOsKvGmrQ,child directed,appropriate,"The video is an advertisement for Lego products sold at Smyths Toys Superstores. It shows a man assembling Lego sets, and it features images of Lego boxes with prices and discounts. There is no violence, inappropriate language, or any other content that would be considered unsuitable for children under 9. The background music is upbeat and cheerful. Therefore, the video is appropriate for children under 9.",['German'],
1,3FsjCqCTX_w,irrelevant,appropriate,"The video is an advertisement for Samsung Galaxy S23. It uses animated graphics with a pixelated cat and other playful elements. There is no violence, sexual content, or any other inappropriate material present. The audio is a voiceover in Spanish explaining the ad's call to action, which is to share content using a specific hashtag.  Therefore, it's appropriate for children under 9.",['Spanish'],
2,y5yMEcs2TzU,irrelevant,appropriate,"This is an advertisement for Shutterfly, a photo printing and gifting service. The video shows families enjoying time together, taking photos, and then using Shutterfly to create photo books, wall art, and other gifts. There is no violence, sexual content, or other inappropriate material present. The language used is English. Therefore, this video is appropriate for children under 9.",['English'],
3,wS-5y9kWcBk,irrelevant,appropriate,"This is an advertisement for a website building service. The video shows a man in a kitchen setting talking about his experience using the service. There is no violence, sexual content, or other inappropriate material present. The language used is clean and appropriate for all ages. Therefore, the video is appropriate for children under 9.",['English'],
4,kEMXZu2scKE,irrelevant,appropriate,"This is an advertisement for Grammarly Go, a writing assistant software. The video shows a man using the software in various work settings. There is no violence, sexual content, or other inappropriate material present. The video is appropriate for children under 9.",['English'],
5,Vf7C6ys7I9Q,irrelevant,inappropriate,"The video shows people performing extreme stunts on skateboards, which could be dangerous for children to imitate.  The video also includes scenes in dark and potentially unsafe locations, which could be concerning for parents. Therefore, I would consider this video inappropriate for children under 9.",['English'],
6,eoxbY6EDKlY,irrelevant,appropriate,"The video shows families enjoying a swimming pool. There is no violence, sexual content, or other inappropriate material present.  The audio is a song advertising the pools, and the visuals match the audio. Therefore, the video is appropriate for children under 9.",['English'],
7,OHiotm-WzYE,irrelevant,appropriate,"This is an advertisement for Stylo, a clothing brand. It shows women and children modeling clothes and shoes from the brand. There is upbeat music playing in the background, and the overall tone is positive and festive. There is no violence, sexual content, or other inappropriate material present. Therefore, this video is appropriate for children under 9.",['Urdu'],
8,atE1zCE23e8,irrelevant,appropriate,"The video shows scenic views of Gotland, Sweden, and depicts people enjoying various activities such as driving, dining, and walking on the beach. There is no violence, sexual content, or other inappropriate material present. The music is upbeat and cheerful. Therefore, the video is appropriate for children under 9.",['Swedish'],
9,q-jrhuKvJZQ,irrelevant,appropriate,"The video is an advertisement for Nike Pegasus shoes. It shows people of different ages and ethnicities running and exercising in urban settings. There is no violence, sexual content, or other inappropriate material. The background music is upbeat and positive. The language spoken is French. Therefore, the video is appropriate for children under 9.",['French'],
10,Jm2FtxPupS4,irrelevant,appropriate,"This is an advertisement for a Transcash card, which is a prepaid card for teenagers. The video shows a teenager video chatting with his parents, asking for a money transfer. The parents are shown on a tablet screen. The parents ask the teenager about his room, implying that he may not be keeping it tidy. The teenager then shows himself on a beach, implying that he is having fun. The parents then transfer the money to the teenager's card. The advertisement is not inappropriate for children under 9. It does not contain any violence, sexual content, or other inappropriate material. The language spoken is French.",['French'],
11,OEXEKSJH360,irrelevant,appropriate,"The video shows a man standing in front of a screen that displays a nighttime scene of a city street. He is speaking in Urdu about a pre-launch offer for Q-Links High Street. The offer includes a 7% discount on bookings and an 8% monthly rental income. The offer is valid until March 22, 2023. There is no inappropriate content in the video. Therefore, it is appropriate for children under 9.",['Urdu'],
12,YT4Xgnuj9nU,irrelevant,appropriate,"The video demonstrates a car sunshade.  There is no violence, sexual content, or other inappropriate material present. The language used is Arabic.",['Arabic'],
13,yUVJLYndRx4,irrelevant,appropriate,"The video is an advertisement for an online store called Marjane Mall. It shows various products from different brands in an unboxing format. There is no violence, sexual content, or any other inappropriate content for children. The background music is upbeat and cheerful. The language spoken is Arabic.",['Arabic'],
14,srsDcnlPeOo,irrelevant,appropriate,"The advertisement is for parking services in Paris. The video shows parking garages, cars, and some text overlays with pricing and other details. There is no violence, sexual content, offensive language, or other elements that would make it inappropriate for children under 9.",['French'],
15,Qx7kfnN8624,irrelevant,appropriate,"The video is an advertisement for office furniture. It shows people in various work settings, some working on computers, others in meetings, and one person getting a massage. There is no violence, sexual content, or other inappropriate material. The language used is Swedish.",['Swedish'],
16,_W6im5sQiyw,irrelevant,appropriate,"The video shows two men in business attire talking in a trade show. The conversation is about business and the economy. There is no violence, sexual content, or other inappropriate material present. Therefore, the video is appropriate for children under 9.",['English'],
17,EhZY-wQCeL8,irrelevant,appropriate,"The video is an advertisement for jewelry. It shows diverse women in various settings, such as the beach and a car, wearing the advertised jewelry. There is no violence, sexual content, or other inappropriate material present. The music is upbeat and non-lyrical. Therefore, the video is appropriate for children under 9.",[],
18,lQWhcfM6V-k,irrelevant,appropriate,"The Sparx Neo phone advertisement is appropriate for children under 9.  The advertisement features a model showcasing the phone's features. There is no violence, sexual content, or other inappropriate material present. The background music is upbeat and non-lyrical. The only spoken words are the brand name and tagline, which are not inappropriate.",['English'],
19,2fp25a5eoVM,irrelevant,inappropriate,"The video shows two women looking at a phone and reacting negatively to a picture. One of the women says, ""Qué desgraciado!"" which translates to ""What a scoundrel!"" This is inappropriate for children under 9 because it contains interpersonal violence (meanness, belittling).",['Spanish'],
20,NXsN-3R00OQ,irrelevant,appropriate,"The video shows a herd of elephants in their natural habitat. There is no violence, sexual content, or other inappropriate material present.  The audio contains only natural sounds, such as the elephants' calls and the rustling of leaves. Therefore, the video is appropriate for children under 9.",[],
21,f_owQ19kssM,irrelevant,appropriate,"The video is an advertisement for public transportation in the Île-de-France region of France. It does not contain any of the elements listed in the definition of inappropriate content for children under 9. Therefore, it is considered appropriate.",['French'],
