Video id,Link,Primary Tag,Secondary Tag,Rating,Coder_Description,desc
Q7zJ7sKKyVQ,youtube.com/watch?v=Q7zJ7sKKyVQ,irrelevant,Science & Technology,,A person talking about laptops and processors. The audio is in a different language so don't understand completely,"This video shows a man sitting in his room with laptops behind him. The man in the video is reviewing the ASUS ROG SCAR 16 gaming laptop, which features the latest 13th generation Intel Core i9 13980HX CPU and an RTX 4090 graphics card. He highlights the powerful performance of the CPU and the graphics card, as well as the impressive cooling system, the 240Hz display, and the quality of the speakers. This video is is not inappropriate as it is only talking about a gaming laptop."
U6BovNVh-FA,youtube.com/watch?v=U6BovNVh-FA,irrelevant,Personal Care & Beauty,,Detergent/softener,This video is a short 6 second advertisement about a hypoallergenic detergent for people with sensitive skin. The video is set in a supermarket where a mother expresses her concern about her daughter's sensitive skin to a doctor. The doctor recommends the all® free clear detergent. This video is not inappropriate.
gWbhoYOWiCg,youtube.com/watch?v=gWbhoYOWiCg,irrelevant,Music & Performance,,"Goodhertz is an audio plugin company, in the sense that we make audio plugins. Ad for promotion, discount ",This video features a man sitting outdoors talking about a sale at Goodhertz which is an audio plugin company. The man in the video talks about the 30% discount the customers can receive. This video is not inappropriate.
RH45frlpUcE,youtube.com/watch?v=RH45frlpUcE,irrelevant,Parenting & Family,,Pram/ baby walker ad. Even though the ad looks child directed at the start because includes animations but kids are not the target audience to sell walkers to,This video is an animated advertisement which features a baby looking at various baby strollers. It talks about different models and designs of baby strollers. This video is targetted towards new parents or caretakers. This video is not inappropriate.
_7dzvaVIoZk,youtube.com/watch?v=_7dzvaVIoZk,inappropriate,Inappropriate Clothing,Moderate,music video with inappropriate clothing,This video is a music video featuring many dancing women. They are wearing sparkly bikini tops and very short beaded skirts. They dance among one another as well as around a man who sings. This video is inappropriate as it features inappropriate clothing which shows significant skin exposure. 
HtH4irH2xJs,youtube.com/watch?v=HtH4irH2xJs,irrelevant,Food and Cooking,,cooking vlog,At the start of the video a man is speaking as he takes a stroll in the streets during the day. The video then shifts to his kitchen where he teaches the audience how to make the best gyros kebab. This video is not inappropriate.
QVS6fdze_z8,youtube.com/watch?v=QVS6fdze_z8,irrelevant,Business & Entrepreneurship,,Grammarly ad for checking grammatical errors and correct english,This video features a woman speaking as she stands in an office setting. She is the Director of Engineering at Grammarly Business. This is an advertisement for the Grammarly software which is used for checking grammatical and spelling errors. This video is not inappropriate.
MZftpVXlkn8,youtube.com/watch?v=MZftpVXlkn8,irrelevant,Software,,"Liquid UI facilitates its SAP users to accomplish tasks easily with its new features. Liquid UI integrated Multiple Object Detector feature in its Android App. This video shows you how this feature helps its SAP users to recognize, detect objects and display their number in the required input field. ","This video features a software demonstration. It shows a step-by-step demonstration with on-screen text on how to use Liquid UI which has an integrated Multiple Object Detector feature in its Android App. This video is advertising a software, it is not inappropriate."
K25-4m1-cO0,youtube.com/watch?v=K25-4m1-cO0,inappropriate,"Drinking, drugs, smoking",,"mv, smoking, drinking club",This music video starts of in a dark settin with two men in sunglasses sitting on a sofa. Subsequent clips show bottles of alcohol being passed around and close-up of women's legs. There are random clips of football matches on TV in between. The video features men and women drinking and smoking in a club which makes this video inappropriate.
Ah-EkDjU2oQ,youtube.com/watch?v=Ah-EkDjU2oQ,irrelevant,Travel & Adventure,,uber renting ad,"This is advertisement for Uber Rentals. The screen shows a video of trees with a white screen overlay on which some text is shown. This video is appropriate, it just consists of some text and a background video of nature."
6E3I9Zwg0EE,youtube.com/watch?v=6E3I9Zwg0EE,child directed,Movies,,little mermaid movie trailer,"This is a movie trailer for Disney's live-action ""The Little Mermaid"". It features scenes of Ariel, a mermaid talking to her friends, a flounder fish, a seagull and a crab. The scenes are shown underwater. There are scenes showing a castle and a carriage ride. The trialer ends with a on-screen text saying that the movie will be shown ""Only in Cinemas"". This video does not contain any inappropriate scenes so it is appropriate."
