Video Id,Primary Label,Predicted Label,Languages,Response
Wma_iVqKRWw,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The video contains dark and unsettling themes such as 'Oblivion Protocol,' 'forests in the fallout,' and references to destruction and devastation. The imagery is likely somber or intense, with abstract and space-related visuals that might evoke a sense of dread. The audio transcription includes themes of destruction, fallout, and being 'lost in the past' after a 'blast,' which are inappropriate concepts for children due to potential distress and fearfulness."",""languages"":[""English""]}"
5KRcG9gVhio,inappropriate,inappropriate,['Spanish'],"{""label"":""inappropriate"",""justification"":""The video features references to drinking and sexual suggestiveness in the audio transcription, as well as frequent mentions of alcohol consumption and possibly suggestive language. These themes are not suitable for children under 9 years old."",""languages"":[""Spanish""]}"
1EYvCnQj1uQ,inappropriate,inappropriate,"['Spanish', 'English']","{""label"":""inappropriate"",""justification"":""The audio transcription contains romantic themes and expressions of love and affection through terms like 'beautiful your eyes,' 'kiss me, girl,' and 'caresses.' Additionally, there are mentions of kissing and romantic affection, which may not be appropriate for children under 9. The video images appear to show scenes of musical performance and social interaction, which seem to align with the romantic and affectionate themes described in the audio."",""languages"":[""Spanish"",""English""]}"
hkworAjntAI,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The video contains emotionally distressing themes as it appears to depict a courtroom scene and a person looking distressed, which may imply serious legal or personal issues. Additionally, the lyrics mention elements like 'take your life back' and 'your courage is your sword,' which might be interpreted in ways connected to overcoming significant challenges, potentially conveying mature themes. The presence of police or emergency vehicles further suggests a serious context. These elements could be considered emotionally distressing or overly complex for children under 9."",""languages"":[""English""]}"
0I5z4YcjBTU,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video content comprises various scenes of people, animated features, and computer screens. There is no visible violence, offensive language, or inappropriate themes such as sexuality, discrimination, or frightening elements. The audio merely contains a repetitive 'Hey!' and a reference to 'May the force be with you' and a 'Happy birthday' which is lighthearted and unoffensive for children. The overall tone is playful and technological, likely promoting virtual meetings or content creation tools, which is not inappropriate for children under 9."",""languages"":[""English""]}"
Wxw30ZAMhRI,child directed,appropriate,['Spanish'],"{""label"":""appropriate"",""justification"":""The video appears to advertise a Mario-themed event, featuring characters like Mario, Luigi, and Bowser. The imagery includes an adventure setting with colorful and magical themes typical of Mario games. The audio transcription, in Spanish, mentions having an adventure with Mario and Luigi in a magical world full of colors, music, and dance, focusing on the character 'Peaches' in a humorous and playful context. There doesn't appear to be any content related to violence, gore, self-harm, sexual themes, offensive language, or other inappropriate elements mentioned in the criteria for children under 9."",""languages"":[""Spanish""]}"
IK2OFWzmXm0,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The images show individuals in stylish outfits in a garden setting, which is not inappropriate for children. The audio transcription contains repetitive phrases and does not include overt themes of violence, self-harm, sexuality, or other concerning content. There is mention of talent, honey, water, and a metaphorical mention of 'murder,' but there is no direct indication of violence or inappropriate behavior."",""languages"":[""English""]}"
EgOI6Nc2PxQ,irrelevant,appropriate,['Spanish'],"{""label"":""appropriate"",""justification"":""The video and audio content describe an announcement for a concert event. The visuals show a concert scene with people enjoying a musical performance. The audio transcription contains information about a concert tour and ticket availability. There are no elements of physical or interpersonal violence, self-harm, scariness, extreme stunts, sexual content, discrimination, offensive language, substance use, crude humor, inappropriate clothing, death, or inappropriate intimacy mentioned. The content is suitable for children as it simply promotes a music event."",""languages"":[""Spanish""]}"
qGJziQ8L7UY,inappropriate,inappropriate,['Swedish'],"{""label"":""inappropriate"",""justification"":""The video contains an image showing intimacy (a kiss between two people) in the top left part of the grid, which may be seen as inappropriate for children under 9 according to the guidelines provided."",""languages"":[""Swedish""]}"
PZHQSzm35fE,inappropriate,inappropriate,['Punjabi'],"{""label"":""inappropriate"",""justification"":""The video contains elements of intimacy and potentially romantic themes, as seen in the interaction between the man and woman in various frames. The imagery includes close physical proximity and emotional expressions, which could be suggestive. Additionally, the language seems to be Punjabi, with phrases such as 'Oda chhadke jana' suggesting themes of separation and emotional complexity that may not be suitable for children under 9."",""languages"":[""Punjabi""]}"
